Total Keypoints train: 192

Detectado Total_keypoints_object  coincidencias_validas(antes_de_ransac)  coincidencias_validas_(depues_ransac)  fps  fps_promedio
0 125 58 9 3,47186 inf
0 125 58 9 55,0723 58,5441
0 14 104 30 10,8959 34,72
0 11 70 37 33,6721 34,3707
0 11 70 37 65,4971 42,1523
0 12 94 29 9,34999 35,5918
0 19 72 22 8,63416 31,0989
0 26 96 20 4,539 27,3046
0 48 80 14 4,34966 24,4353
1 107 79 21 5,12511 22,2897
1 128 89 29 6,23558 20,6843
1 174 86 45 7,00707 19,4409
1 181 87 35 6,37649 18,3522
1 135 57 23 9,7859 17,6932
0 135 57 23 56,6125 20,4732
0 135 57 23 52,7453 22,6247
1 128 80 32 8,62933 21,75
1 156 94 32 6,6045 20,859
0 156 94 32 59,1297 22,9852
0 156 94 32 59,6842 24,9167
0 68 57 11 5,53213 23,9475
0 68 57 11 61,5199 25,7366
0 68 57 11 57,0328 27,1592
0 68 57 11 54,463 28,3463
0 68 57 11 48,2881 29,1772
0 68 57 11 49,2515 29,9802
0 68 57 11 57,4051 31,035
0 68 57 11 45,7873 31,5814
0 68 57 11 50,2866 32,2494
0 68 57 11 51,3008 32,9064
1 41 88 19 5,13574 31,9807
0 41 88 19 59,2592 32,8606
0 41 88 19 55,3185 33,5624
0 41 88 19 36,9497 33,6651
1 182 89 37 6,4515 32,8647
1 185 95 31 5,48528 32,0824
0 185 95 31 62,2282 32,9198
0 185 95 31 51,7515 33,4288
0 185 95 31 57,2672 34,0561
0 185 95 31 50,8672 34,4871
0 185 95 31 60,4855 35,1371
0 185 95 31 53,1153 35,5756
0 185 95 31 57,7871 36,1044
0 185 95 31 40,8849 36,2156
0 185 95 31 49,0315 36,5069
0 185 95 31 54,239 36,9009
0 185 95 31 57,1299 37,3407
0 185 95 31 54,8189 37,7126
0 185 95 31 55,2427 38,0778
0 185 95 31 57,3823 38,4718
0 185 95 31 56,2179 38,8267
0 185 95 31 54,5672 39,1353
0 185 95 31 50,7871 39,3594
0 185 95 31 57,3031 39,6979
0 185 95 31 52,0075 39,9259
0 185 95 31 53,1288 40,166
0 185 95 31 53,7318 40,4082
0 185 95 31 55,9188 40,6803
1 50 87 21 5,17416 40,0681
0 50 87 21 53,5213 40,2962
0 50 87 21 53,479 40,5159
0 50 87 21 57,9044 40,8009
0 50 87 21 51,3794 40,9716
0 50 87 21 56,0256 41,2105
0 50 87 21 56,2239 41,4451
0 50 87 21 53,1827 41,6257
0 50 87 21 49,3047 41,742
0 50 87 21 48,237 41,839
0 50 87 21 55,9785 42,0469
0 50 87 21 51,7221 42,1871
0 73 61 13 5,73253 41,6663
0 73 61 13 53,778 41,8369
0 73 61 13 49,3389 41,9411
0 73 61 13 60,0886 42,1897
0 73 61 13 50,6742 42,3044
1 130 81 23 7,31128 41,8378
0 130 81 23 54,7466 42,0076
0 130 81 23 48,5531 42,0927
0 130 81 23 56,0946 42,2722
1 152 89 34 7,67189 41,8342
0 152 89 34 55,5346 42,0054
0 152 89 34 52,2551 42,132
0 152 89 34 49,109 42,2171
0 152 89 34 55,7168 42,3797
0 152 89 34 54,1648 42,52
0 152 89 34 55,6517 42,6745
0 152 89 34 53,3104 42,7982
0 152 89 34 49,6502 42,8769
0 152 89 34 58,5756 43,0553
0 152 89 34 51,9966 43,1558
0 152 89 34 56,7957 43,3073
0 152 89 34 52,8237 43,4119
0 152 89 34 29,3583 43,2592
0 152 89 34 53,3959 43,3682
0 152 89 34 55,0817 43,4928
0 152 89 34 57,6038 43,6413
0 152 89 34 58,1025 43,7919
0 152 89 34 63,1748 43,9918
0 152 89 34 54,104 44,095
0 152 89 34 54,9388 44,2045
0 152 89 34 53,8125 44,3006
1 63 90 25 6,99942 43,9313
0 63 90 25 58,6649 44,0757
0 63 90 25 54,0684 44,1727
0 63 90 25 48,3042 44,2124
0 63 90 25 51,2613 44,2796
0 63 90 25 54,0447 44,3717
0 63 90 25 55,8727 44,4792
0 63 90 25 45,3841 44,4876
0 63 90 25 56,5544 44,5983
0 63 90 25 60,441 44,7423
0 63 90 25 48,8329 44,7791
0 63 90 25 50,5844 44,831
0 63 90 25 55,2333 44,923
0 63 90 25 62,8379 45,0802
0 85 67 13 5,65285 44,7373
0 85 67 13 52,1077 44,8009
0 85 67 13 54,0656 44,8801
0 85 67 13 47,0546 44,8985
0 85 67 13 48,1584 44,9259
0 85 67 13 56,3289 45,0209
0 85 67 13 44,6008 45,0174
0 85 67 13 50,2968 45,0607
0 85 67 13 36,5297 44,9913
0 75 71 13 5,25337 44,6709
0 75 71 13 50,0155 44,7136
0 75 71 13 49,7515 44,7536
0 75 71 13 60,628 44,8786
1 170 87 30 6,3272 44,5774
0 170 87 30 56,0481 44,6664
0 170 87 30 50,9555 44,7147
1 78 86 18 5,21112 44,4132
0 78 86 18 50,0956 44,4562
0 78 86 18 55,1577 44,5367
1 154 82 28 5,84303 44,2479
0 154 82 28 51,8808 44,3045
1 159 90 30 5,99283 44,0228
0 159 90 30 37,9664 43,9786
0 159 90 30 47,1498 44,0015
0 159 90 30 54,3184 44,0758
0 159 90 30 49,915 44,1175
0 159 90 30 60,7712 44,2356
0 159 90 30 51,8673 44,2893
1 99 76 15 4,77305 44,013
0 99 76 15 54,5998 44,0865
0 99 76 15 52,7042 44,1459
0 99 76 15 46,5377 44,1623
0 99 76 15 56,2964 44,2449
0 81 79 16 5,60402 43,9838
0 81 79 16 38,6056 43,9477
0 81 79 16 56,7603 44,0331
0 81 79 16 53,2881 44,0944
0 81 79 16 59,3968 44,1951
0 81 79 16 41,8359 44,1796
0 81 79 16 60,0817 44,2829
0 81 79 16 56,366 44,3609
0 81 79 16 49,8361 44,396
0 81 79 16 51,9805 44,4443
0 81 79 16 52,3202 44,4941
0 81 79 16 53,0501 44,5479
0 81 79 16 56,3251 44,6215
1 60 86 27 8,04862 44,3944
0 60 86 27 56,2586 44,4676
0 60 86 27 53,0481 44,5203
0 60 86 27 59,2315 44,61
0 60 86 27 62,2162 44,7167
0 60 86 27 59,952 44,8084
0 60 86 27 62,1038 44,912
0 60 86 27 58,8377 44,9949
0 60 86 27 59,8733 45,0829
0 60 86 27 36,5256 45,0326
0 60 86 27 59,0032 45,1143
0 60 86 27 55,6111 45,1753
0 60 86 27 54,6446 45,2301
0 60 86 27 52,1757 45,27
0 60 86 27 48,2464 45,287
0 78 56 15 8,56312 45,0783
0 78 56 15 54,2594 45,1302
0 78 56 15 52,6427 45,1724
0 78 56 15 47,726 45,1867
0 78 56 15 59,3506 45,2654
1 189 88 34 6,845 45,0531
0 189 88 34 61,9003 45,1457
