Total Keypoints train: 289

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,20,101,16,3.49894,inf
0,20,101,16,54.9813,58.4802
0,20,101,16,51.3027,54.8915
0,20,101,16,44.049,51.2773
0,20,101,16,31.2032,46.2588
0,20,101,16,36.5431,44.3157
0,20,101,16,57.7203,46.5498
0,20,101,16,62.4999,48.8283
0,20,101,16,25.8351,45.9542
0,20,101,16,20.3054,43.1043
0,20,101,16,35.8279,42.3767
0,20,101,16,30.9465,41.3376
0,20,101,16,54.7109,42.452
0,20,101,16,50.3041,43.056
0,20,101,16,24.7684,41.7498
0,20,101,16,40.1185,41.641
0,20,101,16,60.186,42.8001
0,20,101,16,29.5682,42.0217
0,20,101,16,38.1449,41.8064
0,20,101,16,36.1441,41.5083
0,20,101,16,39.3344,41.3996
0,20,101,16,45.5893,41.5991
0,20,101,16,48.9331,41.9325
0,20,101,16,50.8388,42.3197
0,20,101,16,60.5475,43.0792
0,20,101,16,37.0948,42.8399
0,20,101,16,51.1875,43.1609
0,20,101,16,48.8403,43.3713
0,20,101,16,55.3346,43.7985
0,20,101,16,49.222,43.9855
0,20,101,16,50.4669,44.2016
0,20,101,16,47.4067,44.305
0,20,101,16,57.5943,44.7203
0,20,101,16,52.315,44.9504
0,20,101,16,62.1231,45.4555
0,20,101,16,50.7742,45.6075
0,20,101,16,53.0394,45.8139
0,20,101,16,51.4746,45.9669
0,20,101,16,49.6403,46.0636
0,20,101,16,49.6502,46.1555
0,20,101,16,51.2425,46.2827
0,20,101,16,57.5706,46.558
0,20,101,16,45.7269,46.5382
0,20,101,16,53.7897,46.7069
0,20,101,16,40.8415,46.5736
0,20,101,16,52.2824,46.7004
0,20,101,16,56.7988,46.92
0,20,101,16,42.3227,46.8221
0,20,101,16,24.9469,46.3664
0,20,101,16,39.052,46.2171
0,20,101,16,62.1738,46.5363
0,20,101,16,60.0671,46.8016
0,20,101,16,29.769,46.474
0,20,101,16,66.1416,46.8451
0,20,101,16,63.8976,47.1609
0,20,101,16,64.193,47.4706
0,20,101,16,62.3095,47.7356
0,20,101,16,66.3614,48.0623
0,20,101,16,66.1374,48.374
0,20,101,16,67.8196,48.7035
0,20,101,16,62.7946,48.9384
0,20,101,16,65.8633,49.2159
0,20,101,16,38.8002,49.0479
0,20,101,16,20.0848,48.5881
0,20,101,16,45.6667,48.5425
0,20,101,16,52.4852,48.6031
0,20,101,16,52.8656,48.6677
0,20,101,16,51.9566,48.7168
0,20,101,16,50.5972,48.7445
0,20,101,16,66.9471,49.0083
0,20,101,16,58.6854,49.1465
0,20,101,16,58.3085,49.2756
0,20,101,16,39.8123,49.1441
0,20,101,16,35.2821,48.9542
0,20,101,16,58.3223,49.0808
0,20,101,16,54.7824,49.1568
0,20,101,16,47.6306,49.1368
0,20,101,16,59.805,49.2753
0,20,101,16,53.186,49.3255
0,20,101,16,43.0198,49.2456
0,20,101,16,51.6635,49.2759
0,20,101,16,55.9121,49.3578
0,20,101,16,43.0331,49.2807
0,20,101,16,53.0334,49.3259
0,20,101,16,53.3708,49.374
0,20,101,16,49.0918,49.3707
0,20,101,16,47.5717,49.3498
0,20,101,16,52.345,49.3842
0,20,101,16,53.1658,49.4272
0,20,101,16,50.2083,49.436
0,20,101,16,53.7057,49.4834
0,20,101,16,52.8489,49.5204
0,20,101,16,45.6871,49.4787
0,20,101,16,43.2416,49.4117
0,20,101,16,54.3656,49.4644
0,20,101,16,53.7084,49.509
0,20,101,16,43.5026,49.4465
0,20,101,16,64.9394,49.6062
0,20,101,16,52.2167,49.6328
0,20,101,16,44.4481,49.5805
0,20,101,16,39.1727,49.4764
0,20,101,16,50.0705,49.4823
0,20,101,16,51.2063,49.4992
0,20,101,16,44.5459,49.4511
0,20,101,16,62.012,49.5718
0,20,101,16,50.236,49.5782
0,20,101,16,44.7087,49.5322
0,20,101,16,63.2434,49.6604
0,20,101,16,62.4069,49.7784
0,20,101,16,46.0109,49.7438
0,20,101,16,55.2398,49.7938
0,20,101,16,43.5405,49.7375
0,20,101,16,55.0268,49.7847
0,20,101,16,57.7068,49.8548
0,20,101,16,47.117,49.8308
0,20,101,16,42.1246,49.7638
0,20,101,16,50.7871,49.7726
0,20,101,16,26.9404,49.5774
0,20,101,16,43.9714,49.5299
0,20,101,16,61.3301,49.6291
0,20,101,16,56.4753,49.6861
0,20,101,16,55.857,49.7371
0,20,101,16,63.0675,49.8464
0,20,101,16,61.1852,49.9386
0,20,101,16,65.4705,50.0639
0,20,101,16,39.1161,49.9763
0,20,101,16,60.802,50.0622
0,20,101,16,52.1019,50.0783
0,20,101,16,65.6817,50.2002
0,20,101,16,50.1004,50.1994
0,20,101,16,53.3728,50.2238
0,20,101,16,53.4906,50.2487
0,20,101,16,43.2077,50.1954
0,20,101,16,60.2223,50.2708
0,20,101,16,42.834,50.2153
0,20,101,16,55.528,50.2546
0,20,101,16,55.3032,50.2918
0,20,101,16,56.715,50.3386
0,20,101,16,42.6242,50.2827
0,20,101,16,46.5594,50.256
0,20,101,16,43.6875,50.209
0,20,101,16,46.305,50.1813
0,20,101,16,61.8118,50.2633
0,20,101,16,56.6568,50.308
0,20,101,16,53.7235,50.3317
0,20,101,16,52.8623,50.3491
0,20,101,16,44.6749,50.3103
0,20,101,16,46.6117,50.2851
0,20,101,16,41.0357,50.2226
0,20,101,16,50.2637,50.2229
0,20,101,16,58.6928,50.2794
0,20,101,16,57.14,50.3248
0,20,101,16,58.0318,50.3755
0,20,101,16,56.5133,50.4156
0,20,101,16,59.3648,50.4737
0,20,101,16,57.3988,50.5184
0,20,101,16,54.2566,50.5424
0,20,101,16,28.3583,50.4011
0,20,101,16,39.2802,50.3307
0,20,101,16,57.2507,50.3742
0,20,101,16,52.955,50.3903
0,20,101,16,58.6616,50.4417
0,20,101,16,44.4764,50.4049
0,20,101,16,50.0854,50.4029
0,20,101,16,38.3272,50.3293
0,20,101,16,59.1405,50.3827
0,20,101,16,54.2804,50.4062
0,20,101,16,56.715,50.4439
0,20,101,16,44.8733,50.4108
0,20,101,16,48.4779,50.3994
0,20,101,16,55.3557,50.4285
0,20,101,16,59.1998,50.4798
0,20,101,16,57.5374,50.5208
0,20,101,16,55.2456,50.5481
0,20,101,16,36.948,50.47
0,20,101,16,29.7081,50.3513
0,20,101,16,50.5691,50.3526
0,20,101,16,47.3596,50.3357
0,20,101,16,52.7035,50.349
0,20,101,16,51.2194,50.3538
0,20,101,16,58.1291,50.397
0,20,101,16,59.2625,50.446
0,20,101,16,55.651,50.4746
0,20,101,16,50.6302,50.4755
0,20,101,16,51.5841,50.4815
0,20,101,16,58.1702,50.523
0,20,101,16,57.4059,50.5601
0,20,101,16,50.4056,50.5592
0,20,101,16,54.8311,50.5819
0,20,101,16,45.4505,50.5548
0,20,101,16,52.4662,50.5649
0,20,101,16,49.1954,50.5577
0,20,101,16,58.0518,50.5967
0,20,101,16,55.2267,50.6207
0,20,101,16,48.9428,50.6121
0,20,101,16,52.2954,50.6207
0,20,101,16,45.4795,50.5945
0,20,101,16,56.3788,50.6238
0,20,101,16,57.87,50.6604
0,20,101,16,43.4557,50.6242
0,20,101,16,56.7765,50.655
0,20,101,16,51.6178,50.6598
0,20,101,16,45.4914,50.6342
0,20,101,16,62.5539,50.6929
0,20,101,16,55.8221,50.718
0,20,101,16,55.7072,50.7424
0,20,101,16,57.8804,50.777
0,20,101,16,47.7967,50.7626
0,20,101,16,50.3627,50.7607
0,20,101,16,61.6483,50.8128
0,20,101,16,63.8772,50.875
0,20,101,16,43.6738,50.8409
0,20,101,16,48.2137,50.8285
0,20,101,16,59.0522,50.8671
0,20,101,16,65.9596,50.9376
0,20,101,16,66.3089,51.0091
0,20,101,16,67.4586,51.0853
0,20,101,16,64.4782,51.147
0,20,101,16,66.4055,51.217
0,20,101,16,68.3568,51.2953
0,20,101,16,31.7298,51.2063
0,20,101,16,25.4213,51.0896
0,20,101,16,30.8425,50.9984
0,20,101,16,27.0184,50.8909
0,20,101,16,29.0209,50.7933
0,20,101,16,26.259,50.6842
0,20,101,16,30.3454,50.5942
0,20,101,16,26.5944,50.4885
0,20,101,16,30.7834,50.4021
0,20,101,16,29.9968,50.313
0,20,101,16,25.7566,50.2062
0,20,101,16,21.6235,50.0825
0,20,101,16,24.0454,49.9702
0,20,101,16,25.7526,49.8663
0,20,101,16,31.3776,49.7873
0,20,101,16,33.2348,49.7169
0,20,101,16,37.1901,49.6638
0,20,101,16,19.4401,49.5363
0,20,101,16,46.933,49.5253
0,20,101,16,35.5365,49.4668
0,20,101,16,56.6086,49.4965
0,20,101,16,56.2111,49.5244
0,8,122,58,16.3039,49.3871
0,8,122,58,56.0976,49.4147
0,8,122,58,50.6357,49.4198
0,8,122,58,41.9041,49.3891
0,8,122,58,54.8067,49.4111
0,8,122,58,27.0871,49.3207
0,8,122,58,34.3219,49.2602
0,8,122,58,28.1889,49.1756
0,7,145,65,17.4374,49.0487
0,5,217,140,18.3412,48.9263
0,5,217,140,20.942,48.8153
0,9,149,69,13.1201,48.6742
0,11,130,40,9.79412,48.5211
1,53,88,17,4.43607,48.3482
1,63,96,15,4.64784,48.1775
1,48,115,16,4.65211,48.0082
1,55,108,15,3.69352,47.8364
1,66,135,21,4.38776,47.6686
0,38,118,15,4.57427,47.5029
