"ciclo"	"detecMovimiento(preprocess)"	"extraccion_y_descipcion"	"correspondencias"	"homografia"	"convexidad_y_vertices"	"warp_perspective"	"fps"	"fpspromedio"		
1	0,00281501	0,119452	0,00243249	0,121961	0,000010057	0	3,49894	"inf"		
2	0,00170126	0	0	0	0	0	54,9813	58,4802		
3	0,00232808	0	0	0	0	0	51,3027	54,8915		
4	0,00209558	0	0	0	0	0	44,049	51,2773		
5	0,0016935	0	0	0	0	0	31,2032	46,2588		
6	0,0117354	0	0	0	0	0	36,5431	44,3157		
7	0,00167779	0	0	0	0	0	57,7203	46,5498		
8	0,00158399	0	0	0	0	0	62,4999	48,8283		
9	0,00166731	0	0	0	0	0	25,8351	45,9542		
10	0,00168317	0	0	0	0	0	20,3054	43,1043		
11	0,00168715	0	0	0	0	0	35,8279	42,3767		
12	0,00268922	0	0	0	0	0	30,9465	41,3376		
13	0,002143	0	0	0	0	0	54,7109	42,452		
14	0,00172723	0	0	0	0	0	50,3041	43,056		
15	0,0229978	0	0	0	0	0	24,7684	41,7498		
16	0,00170258	0	0	0	0	0	40,1185	41,641		
17	0,00185672	0	0	0	0	0	60,186	42,8001		
18	0,0016495	0	0	0	0	0	29,5682	42,0217		
19	0,0036399	0	0	0	0	0	38,1449	41,8064		
20	0,00163581	0	0	0	0	0	36,1441	41,5083		
21	0,00669844	0	0	0	0	0	39,3344	41,3996		
22	0,00167011	0	0	0	0	0	45,5893	41,5991		
23	0,00174316	0	0	0	0	0	48,9331	41,9325		
24	0,00158008	0	0	0	0	0	50,8388	42,3197		
25	0,00170216	0	0	0	0	0	60,5475	43,0792		
26	0,00200052	0	0	0	0	0	37,0948	42,8399		
27	0,00175028	0	0	0	0	0	51,1875	43,1609		
28	0,00165872	0	0	0	0	0	48,8403	43,3713		
29	0,00158525	0	0	0	0	0	55,3346	43,7985		
30	0,00166326	0	0	0	0	0	49,222	43,9855		
31	0,00162785	0	0	0	0	0	50,4669	44,2016		
32	0,00220676	0	0	0	0	0	47,4067	44,305		
33	0,00216849	0	0	0	0	0	57,5943	44,7203		
34	0,00183675	0	0	0	0	0	52,315	44,9504		
35	0,00235664	0	0	0	0	0	62,1231	45,4555		
36	0,00353339	0	0	0	0	0	50,7742	45,6075		
37	0,00271723	0	0	0	0	0	53,0394	45,8139		
