Total Keypoints train: 2216

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,780,587,21,2.23428,inf
0,780,587,21,47.2859,49.5202
0,780,587,21,46.4619,47.991
0,780,587,21,54.8003,50.2608
0,780,587,21,51.6419,50.6061
0,780,587,21,32.475,46.9798
0,780,587,21,49.8355,47.4558
0,780,587,21,47.8103,47.5064
0,780,587,21,38.3066,46.3565
0,780,587,21,52.5293,47.0423
0,780,587,21,55.0629,47.8444
0,780,587,21,36.9686,46.8557
0,780,587,21,46.3285,46.8117
0,780,587,21,45.1364,46.6829
0,780,587,21,49.2682,46.8675
0,780,587,21,54.6297,47.385
0,780,587,21,55.8689,47.9153
0,780,587,21,58.569,48.542
0,780,587,21,53.6335,48.8248
0,780,587,21,43.1464,48.526
0,780,587,21,52.4688,48.7231
0,780,587,21,52.8203,48.9182
0,780,587,21,53.8014,49.1402
0,780,587,21,55.0174,49.3957
0,780,587,21,56.0758,49.674
0,780,587,21,52.7652,49.7977
0,780,587,21,54.3036,49.971
0,780,587,21,45.1958,49.7941
0,780,587,21,56.2239,50.0238
0,780,587,21,51.5011,50.0747
0,780,587,21,47.3799,49.9849
0,780,587,21,49.3366,49.964
0,780,587,21,47.6144,49.8905
0,780,587,21,49.3895,49.8754
0,780,587,21,46.6049,49.7792
0,780,587,21,48.9189,49.7546
0,780,587,21,54.867,49.8966
0,780,587,21,55.8444,50.0574
0,780,587,21,46.7093,49.9692
0,780,587,21,56.3948,50.134
0,780,587,21,45.1141,50.0085
0,780,587,21,46.5222,49.9235
0,780,587,21,57.8868,50.1131
0,780,587,21,25.2231,49.5342
0,780,587,21,53.073,49.6147
0,780,587,21,55.9756,49.756
0,780,587,21,55.1113,49.8724
0,780,587,21,45.9307,49.7886
0,780,587,21,51.5568,49.8254
0,780,587,21,53.5993,49.9024
0,780,587,21,47.7874,49.8601
0,780,587,21,46.7838,49.7998
0,780,587,21,51.7247,49.8368
0,780,587,21,49.2735,49.8262
0,780,587,21,56.3092,49.9463
0,780,587,21,50.5789,49.9578
0,780,587,21,54.0079,50.0301
0,780,587,21,44.4406,49.932
0,780,587,21,54.7316,50.0148
0,780,587,21,52.1291,50.0506
0,780,587,21,54.348,50.1222
0,780,587,21,47.8038,50.0842
0,780,587,21,51.7011,50.1103
0,780,587,21,47.7124,50.0722
0,780,587,21,57.1431,50.1827
0,780,587,21,50.518,50.1879
0,780,587,21,55.2755,50.265
0,780,587,21,55.6421,50.3452
0,780,587,21,48.5227,50.3184
0,780,587,21,48.9212,50.2982
0,780,587,21,47.7896,50.2623
0,780,587,21,50.6583,50.2679
0,780,587,21,48.6855,50.2459
0,780,587,21,49.8604,50.2406
0,140,482,36,4.41421,49.6214
0,40,259,163,13.8135,49.1439
0,54,527,277,11.4321,48.6477
0,80,419,180,8.43838,48.1255
0,87,754,278,7.45467,47.6041
0,354,545,28,3.12288,47.0411
0,532,615,19,2.77196,46.4877
0,614,611,31,2.63177,45.9463
0,368,546,24,2.82733,45.4204
1,975,673,171,2.18189,44.8995
1,1134,714,195,2.16915,44.3908
1,1541,846,373,2.31402,43.8958
1,1606,935,419,2.3581,43.4128
1,1544,883,432,2.33801,42.9406
1,1449,920,361,2.26329,42.4784
1,1255,806,321,2.70604,42.0315
1,948,699,194,2.82216,41.5959
1,925,675,106,2.18761,41.1628
1,991,661,111,2.14404,40.7387
1,1005,716,150,2.1302,40.3235
1,1164,812,218,2.29825,39.919
1,953,709,83,2.16692,39.5216
1,983,682,147,2.1757,39.1326
1,937,663,27,2.19584,38.7518
1,948,668,60,2.14163,38.3782
1,824,577,17,2.23144,38.0131
1,897,614,75,2.16201,37.6546
1,1137,647,119,1.96532,37.3012
1,1245,681,173,2.18091,36.9569
1,1133,693,154,2.05405,36.6181
1,1096,696,174,2.081,36.286
1,929,681,72,2.13823,35.9608
1,1008,661,80,2.0514,35.6409
1,1063,668,155,2.02764,35.3267
1,1822,985,447,2.04461,35.0186
1,1695,872,341,2.10517,34.7166
1,1357,744,235,2.21166,34.4211
1,1210,672,191,2.33234,34.132
1,1138,676,203,2.51027,33.8497
1,1110,713,173,2.25306,33.5701
1,1008,708,180,2.58698,33.2983
1,714,719,105,2.73989,33.0325
0,1008,694,193,2.79986,32.7719
1,1017,649,104,2.10025,32.5098
1,1315,870,313,2.54302,32.2558
1,1140,756,218,2.52239,32.006
1,1074,721,229,2.60227,31.7609
1,1120,681,158,2.09089,31.5157
1,1299,713,200,2.14283,31.275
1,1031,670,159,2.18577,31.0385
1,882,571,21,2.18793,30.8058
1,1210,670,137,1.89612,30.5745
1,1144,679,156,2.05161,30.3481
1,739,610,24,2.29424,30.1272
1,1011,642,115,2.15168,29.9087
1,1183,662,106,1.99223,29.6923
1,1171,657,130,2.08097,29.4799
1,1149,630,155,2.15041,29.2713
1,1093,669,125,1.98575,29.0646
1,1064,643,139,2.06119,28.8615
1,1042,662,167,2.23378,28.6628
1,930,664,159,2.48989,28.4689
1,1139,695,155,2.06498,28.2748
1,1082,651,105,2.04795,28.0833
1,1062,683,172,2.19822,27.8958
1,1559,824,328,2.23395,27.7112
1,1418,904,332,2.31099,27.5297
1,1556,850,350,2.25831,27.3505
1,1638,835,335,2.21387,27.1735
1,1541,809,299,2.22786,26.999
