Total Keypoints train: 1472

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,484,414,12,2.53778,inf
0,484,414,12,52.74,55.2777
0,484,414,12,29.8276,42.5527
0,484,414,12,61.9927,49.0327
0,315,386,19,3.59894,37.6743
0,289,413,20,3.2885,30.7971
0,174,411,32,4.28675,26.3787
0,24,523,68,5.94393,23.4595
0,43,437,57,5.29835,21.1893
0,122,450,35,3.83285,19.2608
0,564,408,17,2.42879,17.5776
1,864,569,226,3.17275,16.2681
1,903,591,233,3.17252,15.1768
1,1077,760,463,2.89246,14.2318
1,1266,837,585,2.72678,13.4101
1,1286,849,573,2.62489,12.691
1,1269,865,586,2.72866,12.0684
1,1238,859,560,2.66643,11.5153
1,1294,846,571,2.63487,11.022
1,1269,772,500,2.77762,10.5881
1,1309,804,522,2.6221,10.1898
1,1173,824,513,2.81874,9.83876
1,1195,803,540,2.79016,9.51837
1,1091,691,407,2.97234,9.23376
1,1331,695,393,2.42377,8.95001
1,1356,726,443,2.40822,8.68834
1,1178,772,458,2.6872,8.45753
1,1030,608,311,2.75721,8.24641
1,989,620,302,2.92109,8.05622
1,1027,588,274,2.81863,7.87561
1,877,629,272,2.84944,7.70807
1,981,629,300,2.61137,7.54366
1,1230,710,404,2.54034,7.38731
1,1140,491,145,2.27182,7.23229
1,1162,501,203,2.48467,7.09266
1,1237,584,253,2.36295,6.95752
1,1156,628,310,2.62017,6.83704
1,1104,603,248,2.71522,6.72564
1,988,488,151,2.62345,6.61769
1,896,459,121,2.46278,6.51115
1,1131,543,209,2.58847,6.41308
1,958,472,133,2.60477,6.3202
1,859,468,145,2.93236,6.23954
1,752,483,156,3.2535,6.17009
1,720,537,179,3.432,6.10786
1,718,541,186,3.57356,6.05155
1,716,565,211,3.86585,6.00403
1,709,600,214,3.91681,5.95962
1,735,609,252,3.986,5.9185
1,745,561,188,3.82747,5.87583
1,685,618,253,4.25666,5.84345
1,663,553,173,3.74348,5.80227
1,774,524,141,2.93757,5.74718
0,744,469,113,2.76272,5.69087
1,886,550,186,3.03621,5.64171
1,824,555,150,2.79289,5.58991
1,975,559,185,2.86829,5.54131
0,933,472,123,2.24547,5.48349
1,1000,512,160,2.69707,5.43545
1,1111,566,198,2.73836,5.38974
1,1101,597,260,2.91245,5.34845
1,1042,521,182,2.64587,5.30414
0,1174,558,248,2.69752,5.2621
1,1169,642,297,2.46666,5.21773
1,1257,867,580,2.46897,5.17478
1,1145,689,400,2.53604,5.13418
1,1027,631,265,2.73076,5.09777
1,819,504,139,2.52468,5.05936
1,859,546,173,2.74394,5.02531
1,832,525,181,2.46364,4.98819
1,793,508,144,2.37903,4.95091
1,733,529,153,3.02202,4.92375
1,680,517,145,3.3025,4.90123
1,676,530,161,3.50128,4.88205
1,647,551,185,3.80262,4.86746
1,623,520,152,3.65259,4.85127
1,601,564,156,3.87636,4.83844
1,622,550,212,4.68257,4.83641
1,708,572,240,3.43859,4.81849
1,788,578,241,3.36862,4.80014
1,909,644,322,3.13127,4.77928
1,1051,700,373,2.82829,4.75519
1,1019,694,363,2.85513,4.73202
1,1008,670,350,2.88104,4.70972
1,1026,648,333,2.92402,4.68846
1,992,694,392,2.78611,4.66608
1,843,522,196,2.85771,4.64505
1,956,620,284,2.68519,4.62253
1,823,615,277,3.39242,4.60855
1,863,621,305,3.60843,4.59731
1,759,613,297,3.77825,4.58821
1,736,617,306,3.81722,4.57974
1,709,626,259,4.16195,4.5752
1,657,641,295,4.5602,4.57504
1,740,613,298,3.9861,4.56877
1,764,602,289,3.98299,4.5626
1,782,626,310,4.00104,4.55675
1,802,637,302,3.78452,4.54879
1,895,673,321,3.45349,4.53762
1,715,657,285,4.17325,4.53394
1,762,615,284,3.49988,4.5236
1,911,619,314,2.98663,4.50838
1,935,633,325,3.16864,4.49524
1,761,651,291,4.0145,4.49058
1,905,673,335,3.65897,4.48258
1,914,688,337,3.57457,4.47393
1,914,662,336,3.67018,4.46635
1,911,645,350,3.70617,4.45925
1,923,684,350,3.58486,4.45115
1,927,653,339,3.70475,4.4443
1,809,670,314,3.94658,4.43978
1,898,662,316,3.74988,4.43356
1,816,636,325,4.01572,4.42983
0,816,636,325,45.9831,4.79756
1,638,640,265,4.58629,4.79571
1,285,582,168,5.34008,4.80044
0,285,582,168,48.144,5.17409
0,285,582,168,47.513,5.53596
0,285,582,168,49.9703,5.91252
0,285,582,168,47.8469,6.26491
1,552,600,242,4.59645,6.25101
0,552,600,242,58.8311,6.68556
0,552,600,242,55.8466,7.08851
0,552,600,242,39.9218,7.35545
0,552,600,242,47.9941,7.68318
0,552,600,242,57.8102,8.0842
0,552,600,242,50.8542,8.42364
0,552,600,242,46.6459,8.72461
1,886,672,307,3.70337,8.68538
1,473,565,191,4.42978,8.65239
1,544,612,256,4.60234,8.62123
1,930,662,362,3.71198,8.58376
1,894,680,354,3.8071,8.54757
1,1022,739,427,3.2214,8.50753
1,992,685,385,3.45805,8.46984
1,949,693,387,3.59535,8.43374
1,960,712,407,3.55591,8.39787
