Total Keypoints train: 2443

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,792,529,22,2.23211,inf
0,792,529,22,43.8868,46.1189
0,792,529,22,45.2138,45.6664
0,792,529,22,51.0101,47.4476
0,792,529,22,46.1597,47.1256
0,792,529,22,40.9636,45.8932
0,792,529,22,35.1877,44.109
0,792,529,22,38.4735,43.3039
0,792,529,22,36.6837,42.4764
0,792,529,22,50.4517,43.3625
0,792,529,22,26.7523,41.7015
0,792,529,22,51.5169,42.5938
0,792,529,22,43.7025,42.6862
0,792,529,22,43.4535,42.7452
0,792,529,22,42.0946,42.6988
0,792,529,22,45.2143,42.8665
0,792,529,22,54.3332,43.5831
0,792,529,22,53.2793,44.1535
0,92,656,46,4.4393,41.9471
0,92,656,46,40.295,41.8602
0,130,554,34,4.37915,39.9861
0,130,554,34,48.5767,40.3952
0,130,554,34,48.1512,40.7478
0,137,713,41,4.16218,39.1571
0,137,713,41,50.7976,39.6421
0,118,639,51,4.27625,38.2275
0,118,639,51,45.3306,38.5007
0,118,639,51,47.5561,38.836
0,98,681,102,4.34645,37.6043
0,62,712,88,4.45758,36.4613
0,466,564,18,2.84673,35.3408
0,638,550,29,2.69771,34.2878
0,755,540,19,2.61956,33.2982
1,1201,681,40,2.09418,32.3526
1,1430,680,103,1.87487,31.4562
1,1581,650,82,1.74558,30.6073
1,1572,728,119,1.80305,29.8072
1,1682,856,248,1.98076,29.0551
1,1643,873,328,2.2608,28.35
1,1872,788,308,1.993,27.6742
1,1513,813,260,2.35049,27.0411
1,1525,747,212,2.10277,26.4328
1,1460,813,284,2.40802,25.8608
1,1733,826,285,2.16821,25.3098
1,1649,847,331,2.28176,24.7865
1,1492,837,299,2.4989,24.2912
1,1666,842,232,1.92835,23.805
1,1666,732,143,1.67918,23.3343
1,1797,768,199,1.72976,22.8842
1,1688,666,155,1.75011,22.4529
1,1348,624,45,1.90078,22.0418
1,1325,712,81,1.87074,21.6463
1,1461,676,105,1.7822,21.2643
1,1319,723,165,1.95227,20.8999
1,1448,741,174,1.91052,20.5483
1,1387,648,40,1.84159,20.2082
1,1067,672,107,2.20504,19.8867
1,748,654,109,2.7777,19.5865
1,514,709,57,3.1977,19.304
1,709,661,60,2.87563,19.0255
0,622,689,42,3.00227,18.7585
1,641,645,26,2.7504,18.496
0,612,644,28,2.79527,18.2428
0,535,692,32,2.8518,17.9985
0,619,674,23,2.76494,17.7605
0,708,676,18,2.65366,17.5281
1,837,625,71,2.45661,17.2997
1,908,673,75,2.26264,17.0753
1,1243,642,69,1.91876,16.8524
1,1294,698,148,1.85485,16.635
1,1448,684,125,1.77935,16.4228
1,1540,717,128,1.76929,16.2164
1,1573,726,86,1.74849,16.0155
1,1548,746,144,1.76832,15.8203
1,1439,732,145,1.85267,15.6315
1,1374,697,117,1.90956,15.4486
1,1303,649,50,2.02469,15.272
1,906,697,68,2.32909,15.1039
1,806,676,115,2.60964,14.9437
1,907,653,75,2.31673,14.7839
1,848,682,71,2.36112,14.6286
0,916,654,22,2.37952,14.4773
0,1010,655,16,2.25252,14.3283
0,1078,694,111,2.21086,14.1823
0,1193,639,38,2.07265,14.0381
0,1433,695,168,2.0334,13.8969
0,1398,725,178,2.09917,13.7597
0,1370,697,176,1.99854,13.6245
0,1509,783,182,1.86036,13.4908
1,1380,705,164,1.89436,13.3605
0,1207,688,16,1.96977,13.234
0,1231,572,21,1.91396,13.1096
0,686,574,26,2.36043,12.9927
0,1014,527,19,2.10283,12.8756
1,1628,776,145,1.70017,12.7567
1,1244,765,236,2.74349,12.6513
1,1716,827,297,2.11501,12.5416
1,1327,801,256,2.52995,12.4384
1,1074,758,197,2.77358,12.3398
1,1560,824,317,2.54208,12.2408
1,1513,814,285,2.36226,12.142
1,1146,717,114,2.05103,12.0421
0,1172,699,161,2.19796,11.9456
1,1204,762,161,2.08247,11.8498
1,1217,766,205,2.3897,11.7589
1,1143,699,24,2.0968,11.6668
1,1184,746,66,2.04596,11.5761
1,1270,622,120,1.91334,11.4858
1,1203,645,131,2.03904,11.3983
1,1121,680,128,2.07491,11.3128
1,1051,670,40,2.14477,11.2294
1,1243,709,140,2.07602,11.147
