Total Keypoints train: 950

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,136,188,15,3.08741,inf
0,136,188,15,29.1688,32.2563
0,136,188,15,31.5518,31.904
0,136,188,15,34.1389,32.649
0,136,188,15,34.0718,33.0047
0,136,188,15,28.1697,32.0377
0,136,188,15,25.8633,31.0086
0,136,188,15,47.5917,33.3776
0,136,188,15,46.9971,35.0801
0,136,188,15,48.624,36.5849
0,136,188,15,38.4972,36.7762
0,136,188,15,37.7287,36.8628
0,136,188,15,33.5515,36.5868
0,136,188,15,48.3839,37.4943
0,136,188,15,30.2305,36.9755
0,136,188,15,46.3777,37.6023
0,136,188,15,41.2387,37.8295
0,136,188,15,31.1673,37.4376
0,136,188,15,31.9724,37.134
0,7,462,151,14.7349,35.9551
0,19,363,91,7.74828,34.5448
0,23,306,79,8.11301,33.2861
0,13,288,61,5.75374,32.0347
0,13,288,61,23.5521,31.6658
0,16,326,102,10.505,30.7841
1,120,272,39,3.96486,29.7114
1,170,346,79,3.84623,28.7166
1,322,403,154,5.22232,27.8464
1,330,419,176,5.22627,27.0385
1,383,444,207,5.14862,26.2837
1,444,488,267,4.70247,25.5643
1,487,497,292,4.66444,24.8901
1,455,523,259,4.84585,24.2638
0,455,523,259,41.637,24.7902
1,453,510,297,4.8243,24.203
1,139,322,86,5.79674,23.6771
1,452,487,260,4.82409,23.1534
1,436,418,186,4.4844,22.6488
0,436,418,186,42.5679,23.173
1,458,454,189,4.58859,22.6965
1,347,395,150,5.28748,22.2613
1,277,404,132,5.12124,21.8432
1,121,340,29,4.56371,21.4318
0,121,340,29,39.1512,21.8439
1,412,430,174,4.52252,21.4502
1,390,459,193,4.70792,21.0782
1,442,506,219,4.363,20.7148
1,460,454,229,4.44575,20.3686
0,460,454,229,38.6248,20.749
1,493,435,217,4.08127,20.4088
0,493,435,217,38.6889,20.7744
1,492,426,186,3.96422,20.4448
1,401,420,178,4.27486,20.1339
1,190,309,83,5.35868,19.8551
1,467,380,155,3.85883,19.5588
0,12,323,74,6.36634,19.319
1,411,382,165,4.40826,19.0527
0,118,321,20,3.41955,18.7785
1,245,279,14,2.82965,18.5035
1,233,256,26,3.02582,18.2411
0,110,234,24,3.27839,17.9918
1,282,319,99,4.02254,17.7628
1,516,466,198,4.05899,17.5417
1,496,461,229,4.3136,17.3318
1,466,422,200,4.21667,17.1268
1,455,394,157,4.23304,16.9285
0,478,396,159,4.23617,16.7362
1,442,349,116,3.80208,16.5431
1,429,339,108,3.62675,16.3532
1,388,377,139,4.28004,16.1782
1,431,482,234,4.54138,16.012
1,431,429,194,4.51798,15.8501
1,404,427,175,4.63652,15.6943
1,407,371,112,4.09398,15.5354
1,398,409,144,4.31135,15.3837
1,197,330,87,4.82239,15.2429
1,408,396,142,4.36889,15.0998
1,321,424,149,4.80913,14.9662
1,461,404,161,4.2129,14.8283
1,340,423,140,4.19546,14.6937
1,465,442,206,4.31941,14.5641
1,439,362,137,3.76872,14.4308
1,407,356,138,4.02397,14.3039
0,472,374,162,4.01653,14.1799
1,460,350,131,4.14089,14.0604
1,335,351,77,2.94061,13.9296
1,318,360,90,3.41855,13.8074
1,217,342,55,3.17026,13.6851
1,498,406,149,3.63971,13.571
1,572,496,241,3.81636,13.4614
1,558,470,215,3.82294,13.3543
1,629,493,291,3.80574,13.2493
1,627,498,243,3.88736,13.1476
1,519,483,231,3.91031,13.0482
1,495,466,235,4.33509,12.9556
1,455,424,209,4.93342,12.8711
1,415,412,168,4.99318,12.789
1,433,412,192,5.03431,12.7091
0,433,412,192,40.7832,12.9956
0,433,412,192,45.8549,13.3275
1,396,414,166,5.12962,13.2455
0,112,363,30,4.71834,13.1611
1,414,391,153,4.6645,13.0778
0,414,391,153,38.3995,13.3236
1,404,385,163,5.10576,13.2446
1,407,382,146,4.4028,13.1604
1,518,446,213,3.95673,13.0736
1,607,489,233,3.70516,12.986
0,607,489,233,45.562,13.2876
1,580,468,221,3.7782,13.2004
1,441,406,143,4.7359,13.1235
1,566,493,294,4.51113,13.0459
1,543,434,214,3.96363,12.9648
1,229,344,70,4.11355,12.8864
1,454,418,199,4.2853,12.811
1,430,405,155,4.67613,12.7403
1,331,395,149,5.46156,12.6775
1,230,361,107,6.27117,12.6228
1,236,383,109,5.72869,12.5643
1,326,379,133,5.52157,12.5051
1,370,371,140,4.74079,12.4404
1,361,371,144,5.25072,12.381
1,340,372,124,5.2429,12.3225
0,340,372,124,37.9826,12.5311
0,81,308,23,4.58888,12.4671
0,81,308,23,41.8288,12.702
1,229,346,93,5.14986,12.642
0,229,346,93,37.9723,12.8415
0,229,346,93,42.2455,13.0712
1,220,347,98,4.82027,13.0072
0,220,347,98,40.2185,13.2166
0,220,347,98,40.6126,13.4257
0,220,347,98,39.0411,13.6198
0,220,347,98,41.0036,13.8256
1,335,376,127,5.27997,13.7619
0,335,376,127,40.8165,13.9623
0,335,376,127,38.8394,14.1452
0,335,376,127,38.7057,14.3245
0,335,376,127,43.1944,14.5337
1,374,398,151,5.14478,14.4661
