Total Keypoints train: 2006

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,556,496,18,2.39112,inf
0,556,496,18,48.0866,50.4777
0,556,496,18,44.5714,47.5246
0,556,496,18,59.1397,51.3963
0,556,496,18,37.1305,47.8298
0,556,496,18,38.5907,45.982
0,556,496,18,33.1796,43.8483
0,556,496,18,56.2307,45.6172
0,556,496,18,61.2254,47.5682
0,556,496,18,42.8874,47.0481
0,556,496,18,27.603,45.1036
0,556,496,18,36.0893,44.2841
0,556,496,18,49.0218,44.6789
0,556,496,18,52.2681,45.2627
0,556,496,18,58.2615,46.1912
0,556,496,18,57.0809,46.9172
0,556,496,18,39.3624,46.445
0,556,496,18,53.522,46.8613
0,556,496,18,55.0116,47.3141
0,556,496,18,59.0805,47.9334
0,556,496,18,48.8164,47.9775
0,556,496,18,54.4927,48.2878
0,14,887,257,10.2211,46.5575
0,62,528,46,4.85164,44.7442
0,117,584,52,4.51743,43.0681
0,86,643,60,4.47962,41.5245
0,71,628,156,5.55269,40.141
0,71,555,134,5.03884,38.8409
0,50,555,181,8.39495,37.7536
0,436,574,23,2.78403,36.5477
1,522,526,42,2.61329,35.4166
1,643,553,81,2.45184,34.3532
0,803,670,157,2.50872,33.358
0,741,640,178,3.08941,32.4408
1,558,574,16,2.54549,31.5615
1,852,630,185,2.72364,30.7376
1,1241,851,383,2.45555,29.952
1,1271,869,426,2.74718,29.2167
1,1034,823,351,3.07631,28.5288
1,1186,784,325,2.59375,27.8638
1,1250,779,273,2.48013,27.2292
1,1070,885,420,2.81807,26.6338
1,1237,831,396,2.52434,26.0598
1,1227,772,276,2.36895,25.5088
1,1132,749,277,2.54179,24.9869
1,993,740,260,2.7046,24.4917
0,508,561,19,2.61308,24.0161
1,818,628,150,2.38177,23.5558
1,1165,792,343,2.79312,23.1232
1,1093,710,270,2.54096,22.7032
1,1068,730,234,2.61083,22.3013
0,908,685,200,2.77028,21.9184
0,969,667,186,2.592,21.5467
1,952,635,154,2.36468,21.1848
1,1201,807,260,2.58844,20.8404
1,1188,810,346,2.66928,20.51
1,1072,760,290,2.68855,20.1918
1,1016,667,228,2.67146,19.8844
1,956,643,210,3.01514,19.5936
1,863,679,186,2.91257,19.3108
1,890,648,149,2.47972,19.0303
1,732,693,163,2.91776,18.7662
1,808,608,159,2.82526,18.5091
1,672,624,149,3.05186,18.2637
1,838,654,170,2.89661,18.0236
1,983,694,234,2.87378,17.7905
1,1187,791,297,2.56848,17.5599
1,1213,796,252,2.27237,17.3317
1,1161,748,252,2.40926,17.1123
1,1127,720,184,2.22046,16.8964
1,1010,741,177,2.15747,16.6859
1,1018,689,158,2.18872,16.4817
1,835,615,94,2.28373,16.2845
0,620,544,23,2.38756,16.0941
1,1023,687,154,2.0485,15.9043
1,1101,713,227,2.54429,15.7262
1,962,689,231,2.96145,15.5582
1,860,707,239,3.50701,15.4017
1,880,641,210,3.16949,15.2449
1,825,617,155,2.65932,15.0856
0,731,550,137,2.64948,14.9301
0,765,594,119,2.31593,14.7744
1,912,653,160,2.35248,14.6229
1,743,621,83,2.40612,14.4757
1,829,663,166,2.58833,14.3342
1,1213,784,325,2.64578,14.1967
1,1353,825,420,2.67701,14.0628
1,1355,889,381,2.67725,13.9319
1,1352,811,332,2.61959,13.8033
1,1202,756,270,2.67774,13.6783
1,768,643,128,2.44204,13.5535
1,789,611,155,2.73169,13.4346
0,835,656,162,2.79557,13.3189
1,860,670,191,2.82995,13.2061
1,721,685,142,2.76546,13.0951
1,800,693,178,2.99516,12.9888
1,683,631,158,2.7518,12.8821
1,661,605,138,2.74838,12.7776
1,630,593,135,2.83635,12.6762
0,670,576,138,3.02868,12.5788
1,723,622,162,3.06033,12.4836
1,771,652,177,2.8582,12.3883
1,799,615,178,3.16192,12.2978
1,877,677,208,2.97446,12.2073
1,960,637,203,3.02017,12.119
1,965,682,241,3.00627,12.0322
1,998,710,237,2.84322,11.9455
1,995,700,219,2.87054,11.8607
1,1006,763,222,2.66982,11.7756
1,943,728,256,3.18863,11.6968
1,1132,767,286,2.91797,11.617
1,939,724,246,3.16112,11.5408
1,1212,803,324,2.91863,11.4638
0,353,397,33,2.77325,11.3869
0,498,568,28,2.49902,11.309
0,498,568,28,31.4081,11.4837
0,498,568,28,65.4358,11.9488
0,498,568,28,57.803,12.3407
0,498,568,28,53.548,12.69
0,498,568,28,56.2586,13.0561
0,498,568,28,54.9029,13.4048
0,498,568,28,30.757,13.5482
0,498,568,28,42.9828,13.7895
0,498,568,28,49.4804,14.0796
0,498,568,28,55.1244,14.4107
0,498,568,28,60.5212,14.7795
0,498,568,28,62.6333,15.1593
0,498,568,28,60.931,15.5197
0,498,568,28,59.7164,15.865
0,498,568,28,59.1539,16.2006
0,498,568,28,57.6434,16.5194
