Total Keypoints train: 1297

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,196,258,19,2.96972,inf
0,196,258,19,53.9606,56.9303
0,196,258,19,49.7882,53.3592
0,196,258,19,62.9284,56.549
0,196,258,19,33.4439,50.7727
0,7,449,140,11.6364,42.9455
0,16,500,127,8.05886,37.131
0,11,548,143,8.16634,32.9932
0,14,469,107,5.66907,29.5777
0,18,439,148,11.1696,27.5323
0,169,293,24,3.65241,25.1443
0,230,357,17,3.41976,23.1694
1,576,460,141,3.30901,21.5144
1,807,692,417,3.29382,20.1128
1,675,640,344,4.05964,18.9661
1,847,708,431,3.27219,17.9199
1,807,666,418,3.25337,17.0032
1,678,647,309,4.15949,16.2477
1,210,495,136,5.36198,15.6429
1,74,385,49,4.77084,15.0707
1,238,513,155,6.62164,14.6483
0,238,513,155,59.0041,16.7604
0,238,513,155,46.2024,18.0987
0,238,513,155,53.5356,19.6395
1,691,694,427,4.31611,19.001
0,691,694,427,58.5658,20.5836
1,667,681,399,4.26548,19.956
0,667,681,399,59.7837,21.4311
0,667,681,399,57.5011,22.7193
1,657,661,358,4.33599,22.0854
0,657,661,358,60.6832,23.372
0,46,397,52,5.06658,22.7815
0,46,397,52,61.622,23.9952
0,46,397,52,56.1231,24.9688
1,684,693,404,4.32249,24.3616
0,684,693,404,57.8333,25.3179
1,188,462,91,4.18436,24.7309
0,188,462,91,48.5317,25.3741
0,188,462,91,63.2797,26.3716
1,394,586,229,6.06248,25.8509
0,394,586,229,60.4994,26.7171
1,627,700,388,4.34184,26.1714
0,627,700,388,58.5372,26.942
1,634,659,344,4.50493,26.4202
1,625,598,277,4.06603,25.9121
1,405,522,156,4.30858,25.4321
1,687,623,334,4.14319,24.9693
0,687,623,334,49.0602,25.4818
1,709,642,354,3.63869,25.0268
1,718,606,302,3.45625,24.5865
1,740,587,282,3.29751,24.1608
1,600,574,231,4.00053,23.7655
0,600,574,231,57.376,24.4118
1,674,563,230,3.25136,24.0126
1,725,581,263,3.20969,23.6273
1,622,568,248,4.29635,23.2759
0,622,568,248,62.2467,23.9718
0,622,568,248,53.8677,24.4963
1,176,407,86,4.47489,24.1511
0,176,407,86,48.0101,24.5555
0,176,407,86,44.2456,24.8836
0,176,407,86,57.9548,25.4258
0,176,407,86,49.2515,25.8101
1,570,595,271,4.48597,25.4716
0,570,595,271,64.4336,26.0804
0,570,595,271,48.3282,26.4226
0,570,595,271,61.9277,26.9606
0,570,595,271,61.4775,27.4758
1,565,587,260,4.51255,27.1381
0,565,587,260,49.7315,27.4655
1,549,531,243,4.92024,27.1434
1,511,599,284,5.46206,26.8381
1,221,496,145,6.58112,26.5567
1,540,568,232,3.98498,26.2475
1,450,549,221,5.55389,25.9679
1,531,519,194,4.3479,25.6796
1,516,515,164,4.65774,25.403
1,583,531,218,4.09574,25.1263
1,562,503,192,3.7547,24.8523
1,624,572,257,3.78495,24.5856
1,576,578,233,3.77497,24.3255
1,462,545,198,4.69323,24.0831
1,500,513,197,4.91159,23.8493
1,555,537,230,4.2388,23.613
1,571,540,255,4.49297,23.3854
1,552,549,240,4.61625,23.1646
1,558,550,249,4.69403,22.9498
1,514,537,225,4.60959,22.739
1,484,504,204,4.80901,22.5353
1,539,528,226,4.53764,22.3331
1,645,591,282,4.34433,22.1332
1,600,548,252,4.59017,21.9404
1,663,605,305,4.24386,21.748
1,643,588,279,3.78477,21.5549
1,760,655,339,3.60174,21.3639
1,773,645,352,3.33879,21.1742
1,776,628,342,3.33668,20.9884
1,818,648,344,3.14079,20.8044
1,811,634,346,3.1144,20.6239
1,701,630,366,4.00532,20.456
1,677,579,242,3.67099,20.2881
1,640,538,192,3.5933,20.1228
0,509,397,113,3.3268,19.9582
1,680,508,171,3.38696,19.7973
1,724,534,220,3.2371,19.6381
1,665,566,216,3.65474,19.4858
1,692,539,219,3.36792,19.3338
1,484,400,33,2.83745,19.1796
0,422,337,16,2.68822,19.0269
0,285,340,14,2.83659,18.8784
0,74,315,35,3.4198,18.7378
1,519,470,141,3.80951,18.6034
1,472,486,125,3.4944,18.4685
1,508,497,149,3.84842,18.3391
1,461,484,171,4.28796,18.2158
1,526,540,161,3.61755,18.0889
0,468,465,89,2.99054,17.9587
1,387,412,73,3.10599,17.8318
1,362,396,65,3.19586,17.7077
1,366,421,66,3.05409,17.5846
1,758,632,336,4.01255,17.4715
1,612,494,157,3.55104,17.3565
1,630,460,157,3.4924,17.2428
0,660,487,175,3.82826,17.1337
1,651,493,196,3.78593,17.0261
1,666,503,161,3.56952,16.9185
1,739,531,240,3.7858,16.8142
1,739,522,231,3.74208,16.7113
1,717,536,230,3.80799,16.6105
1,674,476,177,3.88285,16.5118
1,662,497,184,3.75105,16.4137
1,613,450,159,3.91409,16.3182
1,505,456,137,4.37857,16.2278
1,385,449,118,4.42288,16.139
0,385,449,118,52.6506,16.4115
1,540,465,169,4.52482,16.3235
1,579,469,135,3.69017,16.2306
1,620,492,184,4.00556,16.1413
1,704,521,172,3.47571,16.0496
0,28,450,180,16.3575,16.0518
1,796,558,191,3.35251,15.9611
1,853,573,233,3.23279,15.8708
1,884,583,264,3.09689,15.7808
1,858,584,235,3.19969,15.6929
0,858,584,235,49.4658,15.9274
1,907,573,274,3.23687,15.8399
1,908,565,243,3.06686,15.7524
1,853,533,232,3.11311,15.6664
1,795,532,215,3.14504,15.5818
1,244,403,21,3.92052,15.5035
1,520,374,81,2.69481,15.4181
1,540,496,192,3.91862,15.342
1,541,508,179,4.07756,15.2679
1,553,503,183,4.01463,15.1943
1,558,525,179,3.91963,15.1211
1,632,578,232,3.87144,15.0485
0,632,578,232,50.7539,15.2774
0,632,578,232,60.7237,15.5669
1,511,505,209,4.83209,15.4989
1,676,562,252,3.711,15.4248
0,676,562,252,53.4048,15.6622
0,676,562,252,59.7267,15.9359
0,676,562,252,57.4649,16.1922
1,310,478,116,4.29319,16.1192
0,79,477,40,4.97364,16.0513
0,79,477,40,49.4337,16.2536
0,79,477,40,46.5006,16.4358
0,79,477,40,59.2065,16.6919
0,79,477,40,55.2151,16.9212
0,138,401,54,4.1442,16.8456
0,138,401,54,55.9756,17.0758
0,138,401,54,50.3397,17.2703
0,138,401,54,59.1047,17.5135
0,138,401,54,58.9518,17.7531
1,315,490,94,3.86388,17.6732
0,315,490,94,50.6381,17.8616
0,315,490,94,64.496,18.1266
0,315,490,94,61.4775,18.3715
0,315,490,94,46.7139,18.5307
1,348,464,136,5.33436,18.457
0,348,464,136,52.4636,18.6459
0,348,464,136,43.305,18.7822
0,348,464,136,55.8749,18.986
0,348,464,136,50.7128,19.1593
0,348,464,136,59.6689,19.3795
0,134,454,31,4.5893,19.2996
0,134,454,31,48.5205,19.4567
0,134,454,31,52.3725,19.6327
0,134,454,31,58.7413,19.8407
0,134,454,31,50.5131,20.003
0,134,454,31,50.2565,20.1622
0,134,454,31,56.1291,20.3505
0,134,454,31,52.3974,20.5174
0,134,454,31,58.3093,20.7132
0,134,454,31,56.9314,20.8999
0,134,454,31,57.0289,21.0852
0,134,454,31,55.2122,21.2593
0,134,454,31,54.2418,21.4268
0,134,454,31,56.3955,21.6034
0,134,454,31,56.8573,21.7805
0,134,454,31,52.6011,21.9346
0,134,454,31,47.3799,22.0612
0,134,454,31,58.4865,22.2415
0,134,454,31,49.128,22.374
0,134,454,31,53.2793,22.5255
0,134,454,31,40.8463,22.6149
0,134,454,31,60.4959,22.7987
0,134,454,31,62.2901,22.9895
0,134,454,31,52.9076,23.1334
0,134,454,31,48.8187,23.2563
1,215,466,88,4.06217,23.1649
0,40,451,80,5.45926,23.0809
0,109,393,35,4.97258,22.9955
1,275,418,93,3.648,22.9047
1,425,478,148,4.02458,22.8165
1,572,465,188,4.11962,22.7295
1,551,509,205,3.98698,22.6427
1,600,550,263,4.0327,22.557
1,676,549,235,3.88042,22.4713
1,661,527,180,3.56265,22.385
1,643,513,180,3.57405,22.2995
0,604,497,174,3.97147,22.2165
1,559,501,160,3.88881,22.134
1,493,459,145,4.04155,22.0528
1,477,466,120,3.32538,21.9692
1,417,420,74,3.3139,21.8863
0,306,386,69,4.09933,21.8076
0,74,421,52,5.33823,21.7351
1,466,429,105,3.52673,21.6552
1,519,489,182,4.56375,21.5806
1,554,542,263,4.48143,21.5062
1,564,588,294,4.39124,21.4321
1,598,598,276,4.18943,21.3578
1,688,619,289,3.89728,21.2829
1,626,567,285,4.06187,21.2093
1,577,543,206,3.97777,21.1359
1,608,551,223,4.04867,21.0635
1,596,534,220,3.93804,20.9913
1,616,496,163,3.62892,20.9183
1,592,511,192,3.81255,20.8468
1,569,526,156,3.56623,20.7748
1,597,531,164,3.49552,20.7031
