Total Keypoints train: 353

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,511,81,11,2.17665,inf
0,95,110,18,5.4071,7.58375
0,69,102,23,5.41697,6.50036
0,29,117,57,17.9701,10.3236
0,14,155,97,20.5634,12.8836
0,69,125,20,4.57699,11.2223
0,93,105,25,5.33103,10.2404
0,105,88,18,4.72662,9.45271
0,139,107,20,4.22281,8.79897
0,122,120,19,4.28642,8.29757
1,243,98,12,4.03951,7.87177
1,340,117,34,5.52093,7.65806
1,284,106,24,3.93721,7.34798
1,233,107,26,4.78757,7.15103
0,205,121,16,4.25419,6.94411
1,294,116,28,4.302,6.76797
0,294,116,28,43.541,9.06629
0,164,124,27,4.11672,8.77513
0,160,120,23,4.15155,8.51827
0,168,110,24,3.90966,8.27571
0,190,95,15,3.90256,8.05705
0,190,95,15,48.7971,9.99705
0,152,122,15,3.99413,9.72419
1,434,124,42,5.00275,9.51891
0,155,109,17,4.23655,9.29882
0,146,105,21,3.93961,9.08445
1,186,82,10,3.6941,8.87713
1,245,113,17,3.58363,8.68107
0,143,96,16,3.96077,8.51249
1,259,117,15,3.53203,8.34075
1,356,123,35,4.76572,8.22158
1,291,96,13,3.49201,8.06901
0,237,114,12,3.68652,7.93206
0,298,120,16,3.48681,7.79736
1,261,123,13,3.53808,7.67208
0,198,137,20,3.78009,7.56088
0,218,128,15,3.85138,7.45784
0,193,120,18,3.84906,7.36031
1,292,110,15,3.50758,7.25892
0,254,105,13,3.75302,7.16903
0,238,110,13,3.81835,7.08526
0,235,113,21,3.8514,7.00638
1,259,102,17,3.65387,6.92656
0,247,122,18,3.77222,6.85321
0,214,124,13,3.9281,6.78673
0,234,128,15,3.93741,6.72341
0,196,123,22,4.07855,6.66591
0,152,138,21,4.31766,6.61595
0,150,116,17,4.35715,6.56889
0,80,126,41,8.37802,6.60581
0,173,123,15,4.49128,6.56352
0,29,147,71,11.8697,6.66756
0,189,105,12,3.94758,6.61526
0,199,112,21,3.86807,6.56342
0,133,118,16,4.30485,6.5216
0,133,128,71,9.13326,6.56908
0,133,128,71,55.1875,7.43727
0,5,34,20,15.2211,7.57383
0,49,115,26,4.73465,7.52487
0,200,111,12,4.16247,7.46788
0,122,99,16,4.58335,7.41981
0,47,92,20,4.82628,7.37729
0,79,144,76,10.5403,7.42831
0,157,120,16,4.53241,7.38234
0,53,97,33,9.02544,7.40802
0,30,156,97,11.679,7.47372
0,17,140,123,12.6422,7.55203
0,47,123,36,7.23605,7.54732
1,204,116,33,5.2641,7.51374
0,112,124,13,5.11449,7.47897
0,118,104,21,4.60751,7.43795
0,120,140,13,4.24444,7.39297
0,93,117,19,4.94942,7.35903
0,91,126,25,4.89275,7.32525
0,174,110,17,4.24142,7.28357
0,174,110,17,55.9166,7.93201
0,124,136,27,4.2776,7.88393
0,124,136,27,48.7092,8.41413
0,203,116,17,3.9564,8.35698
0,120,143,26,4.29579,8.30557
0,73,137,18,5.11402,8.26567
1,49,150,24,4.7468,8.22223
0,49,150,24,45.5417,8.67735
0,49,150,24,49.2995,9.16677
1,197,128,42,4.33054,9.1092
0,197,128,42,42.8703,9.50639
0,197,128,42,40.4368,9.86604
0,74,127,18,3.6757,9.79489
0,65,135,31,4.5976,9.73583
0,116,119,28,4.43425,9.67626
0,185,124,14,3.77559,9.6107
0,278,104,9,3.53584,9.54394
0,234,103,11,3.55586,9.47885
0,273,92,15,3.42487,9.41376
0,140,87,11,4.34154,9.3598
0,114,97,14,5.20917,9.31611
0,357,113,29,3.81736,9.25883
0,596,123,51,4.39466,9.20868
0,596,123,51,54.5133,9.67097
0,237,113,28,5.06137,9.62441
0,237,113,28,43.9655,9.96782
0,192,100,12,4.46933,9.91338
0,43,136,43,12.8929,9.94259
0,186,108,14,3.57691,9.88079
0,195,103,17,3.60308,9.82043
0,156,119,18,3.95055,9.76452
0,54,160,60,8.5473,9.75304
0,60,116,18,4.63446,9.7052
1,176,136,38,5.48911,9.66617
