Total Keypoints train: 2002

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,844,431,18,1.93461,inf
0,844,431,18,44.5577,46.4923
0,844,431,18,43.3144,44.9033
0,844,431,18,55.2304,48.3457
0,844,431,18,49.3192,48.5891
0,12,1080,549,18.5316,42.5776
0,95,577,110,3.84852,36.1227
0,119,597,60,4.08347,31.5457
0,211,526,26,3.68274,28.0628
0,335,445,20,3.11978,25.2914
0,324,494,23,3.16056,23.0783
0,493,486,38,2.68812,21.2246
0,390,506,26,2.92075,19.6993
0,312,513,50,3.1903,18.4294
0,549,493,22,2.75423,17.3097
0,455,547,26,3.07092,16.3605
1,776,531,50,2.62566,15.5021
0,728,529,23,2.80973,14.7554
1,607,498,23,2.84393,14.0937
1,810,506,18,2.69784,13.4939
0,810,506,18,44.1678,15.0276
1,787,473,18,2.65764,14.4386
0,659,466,17,2.82504,13.9107
1,902,546,43,2.48902,13.4141
0,651,489,31,2.70635,12.9679
0,532,487,44,2.93962,12.5668
0,630,493,23,2.82673,12.1922
0,402,511,25,3.04318,11.8533
0,565,502,34,2.89695,11.5335
0,566,498,36,2.85395,11.2342
0,579,555,35,2.96517,10.9585
1,662,516,34,2.87142,10.6977
0,620,517,27,3.01216,10.4575
1,538,501,32,2.8207,10.2261
0,508,512,46,2.95606,10.0122
0,301,477,41,3.18171,9.81708
1,710,524,38,2.69041,9.61912
1,533,496,29,2.89199,9.4373
1,658,488,16,2.74871,9.26129
1,722,501,40,2.64283,9.09158
0,674,504,14,2.6567,8.93071
1,789,508,28,2.50506,8.77399
1,998,492,90,2.30782,8.62003
1,704,514,25,2.52929,8.47839
1,745,536,22,2.60552,8.34491
0,672,509,15,2.73584,8.22027
1,868,558,70,2.50472,8.09602
0,868,558,70,37.9276,8.73073
0,737,561,16,2.88193,8.60888
0,737,561,16,48.5744,9.4245
1,931,550,34,2.43662,9.28475
0,483,531,22,2.94522,9.16044
1,637,512,55,2.79537,9.03804
0,508,465,24,3.27698,8.92934
0,508,465,24,45.9428,9.61477
1,756,554,64,2.75597,9.49007
0,277,529,63,3.78689,9.38822
1,874,495,74,2.58413,9.26885
1,601,544,61,2.81828,9.15764
1,664,569,50,2.73665,9.04881
0,447,522,38,2.94699,8.94711
0,748,520,14,2.47405,8.84099
1,1175,650,168,2.35241,8.73634
0,1175,650,168,45.0574,9.31286
0,1175,650,168,46.0235,9.88647
1,1194,642,166,2.46048,9.77222
0,1194,642,166,51.4613,10.4039
1,1234,652,220,2.54167,10.2865
0,1234,652,220,47.7711,10.8378
1,1261,649,220,2.67082,10.7194
0,613,534,19,2.9532,10.6085
1,1144,623,159,2.39713,10.4928
1,1227,609,185,2.60764,10.3833
1,738,571,86,2.71165,10.2782
0,738,571,86,44.5852,10.7418
1,1156,641,214,2.77905,10.6356
0,1156,641,214,44.7068,11.0839
1,1164,623,182,2.54466,10.973
0,1164,623,182,43.0313,11.3841
1,937,626,143,2.38839,11.2702
1,1294,679,220,2.50178,11.1606
0,1294,679,220,47.6598,11.6112
1,1186,640,213,2.69455,11.5024
0,1186,640,213,49.6997,11.9627
1,1189,613,203,2.79072,11.8535
0,1189,613,203,42.2583,12.2112
0,1189,613,203,41.0795,12.5468
0,1189,613,203,45.1651,12.9218
0,349,493,24,2.9349,12.8083
0,416,510,22,2.84725,12.6964
0,458,467,20,2.78595,12.5862
0,405,495,15,2.91092,12.4799
0,377,478,16,2.95349,12.3764
0,572,491,19,2.93563,12.2749
0,393,482,32,3.42338,12.1807
0,223,472,23,3.28514,12.0871
0,325,490,57,3.07868,11.9932
0,607,430,15,2.68044,11.8972
0,567,481,15,2.78628,11.8042
1,771,506,18,2.56912,11.711
1,1112,601,174,2.74608,11.6213
1,1068,600,81,2.25704,11.5286
1,853,479,51,2.47233,11.4398
1,1164,603,167,2.71371,11.3551
1,1288,582,157,2.53142,11.2702
0,275,478,34,3.92154,11.2003
1,1265,612,122,2.18725,11.1152
1,1021,541,152,2.92886,11.0387
1,994,578,146,2.68788,10.9614
1,925,591,152,2.70214,10.8856
0,925,591,152,45.9937,11.2048
1,582,490,22,2.60364,11.1273
0,649,457,15,2.75816,11.0526
1,1008,573,71,2.19217,10.9742
0,518,500,19,2.65871,10.9012
0,332,479,20,2.95307,10.8321
1,916,567,103,2.46353,10.76
1,951,543,115,2.45008,10.6889
1,1145,595,140,2.33939,10.6182
1,729,489,12,2.6566,10.5513
0,381,536,31,2.98606,10.4882
0,347,495,18,3.3675,10.4294
0,319,480,40,3.35483,10.3714
0,319,480,40,43.5067,10.6408
0,319,480,40,48.144,10.9432
0,319,480,40,51.0772,11.2643
0,319,480,40,47.6647,11.5532
0,319,480,40,41.3905,11.7881
0,319,480,40,49.2099,12.0805
0,319,480,40,46.4465,12.3469
0,319,480,40,49.5271,12.6329
0,319,480,40,14.7011,12.6487
0,319,480,40,15.9378,12.6736
