Total Keypoints train: 1233

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,477,354,15,2.25293,inf
0,59,470,64,5.07028,7.32321
0,95,411,37,4.53708,5.93014
0,145,420,42,4.36765,5.40931
0,189,395,27,4.064,5.07298
0,153,455,29,4.27692,4.91377
0,240,327,19,3.26409,4.63883
0,42,426,45,4.80793,4.66298
0,89,361,41,4.24306,4.61049
0,108,406,29,4.52446,4.60093
0,125,380,29,4.29247,4.57009
0,43,474,68,4.7811,4.58927
0,93,407,50,3.98886,4.53924
0,102,423,106,3.84176,4.48558
0,76,383,40,3.52125,4.4167
0,174,374,26,3.53299,4.35779
1,367,391,57,3.12931,4.28101
1,198,319,33,3.39157,4.22869
1,320,419,74,3.05697,4.16359
1,331,394,39,3.2173,4.11379
0,214,380,40,3.17598,4.0669
0,285,408,19,3.15789,4.02361
0,256,369,24,3.23749,3.98788
1,369,352,50,2.71141,3.93238
1,435,433,77,2.93598,3.89086
0,297,358,24,3.0429,3.85695
1,464,450,155,4.17216,3.86907
1,476,479,189,4.09893,3.87758
1,340,375,61,3.01076,3.84662
1,630,498,218,3.71551,3.8421
0,209,316,22,3.10604,3.81757
0,419,340,26,2.5854,3.77782
0,277,334,14,2.92344,3.75112
0,273,313,21,2.83779,3.72344
1,351,377,56,2.70991,3.69363
1,270,420,37,2.90224,3.67102
0,310,363,17,2.86664,3.64868
0,160,321,14,3.18919,3.63626
0,239,326,18,2.97728,3.61892
1,674,490,227,3.65265,3.61978
1,616,502,224,3.98947,3.62903
1,611,487,195,3.53422,3.62671
1,674,500,173,3.23824,3.61746
1,342,380,64,2.6637,3.59528
1,664,459,175,3.23089,3.587
0,664,459,175,58.2955,4.80275
1,472,382,102,3.20866,4.76809
1,719,479,177,3.1545,4.73376
1,677,493,165,3.06921,4.69908
1,497,424,134,3.21627,4.66882
0,300,369,15,2.74945,4.63043
1,378,386,73,2.63939,4.59139
1,495,407,141,3.71607,4.57456
1,667,494,193,3.42002,4.55278
1,811,549,280,3.38415,4.53114
0,811,549,280,48.8113,5.33623
0,341,406,25,3.87385,5.31012
1,467,387,54,2.53928,5.2615
1,389,397,46,2.52285,5.21429
0,467,384,59,2.55012,5.16913
0,247,336,15,2.92879,5.13179
0,336,376,30,2.83633,5.09416
1,460,422,106,2.75624,5.05645
1,405,393,44,2.48933,5.0157
1,518,437,119,2.47863,4.97606
1,350,367,50,2.71139,4.94122
0,232,353,15,2.92455,4.91067
0,261,381,16,2.91623,4.8809
1,330,356,39,2.77453,4.84992
0,267,319,15,3.23736,4.82655
0,203,355,13,3.34057,4.80532
1,326,359,60,3.09152,4.78119
1,428,393,102,3.09761,4.7578
1,448,462,132,3.86284,4.74554
1,252,406,65,3.7652,4.7323
1,304,382,53,3.16477,4.71139
1,279,393,18,3.12645,4.69054
0,215,362,16,3.40213,4.67381
1,273,362,24,3.20854,4.65502
1,337,402,70,3.05311,4.63474
1,467,462,149,4.11695,4.62827
1,615,537,195,3.99637,4.62047
0,615,537,195,56.9638,5.2588
1,401,498,154,4.43385,5.24887
0,218,347,14,3.33446,5.22607
0,122,333,28,3.49668,5.20573
0,117,355,23,3.72848,5.18855
0,273,300,13,3.03493,5.1638
0,282,347,20,2.90077,5.13808
0,239,376,17,3.06556,5.11479
0,160,356,17,3.22248,5.09377
0,128,410,19,3.39451,5.0751
1,187,392,24,3.05892,5.05318
1,491,429,109,3.05324,5.03168
1,394,420,102,3.2578,5.0128
1,404,375,90,2.83558,4.98989
1,656,526,211,3.46842,4.97404
1,629,547,286,3.98124,4.9638
1,458,445,131,3.5647,4.94953
1,685,548,236,3.45809,4.93446
1,595,529,222,3.64381,4.92155
1,621,533,243,4.03166,4.91274
0,621,533,243,50.6454,5.3611
0,621,533,243,59.0149,5.88201
1,672,533,216,3.5172,5.85928
0,672,533,216,44.7507,6.22967
1,584,522,216,4.02562,6.20888
1,542,491,174,3.8336,6.18668
0,97,430,35,4.68505,6.17277
1,649,535,244,3.83027,6.15128
0,649,535,244,62.3521,6.6622
1,596,531,233,4.06311,6.63879
0,596,531,233,43.8002,6.97058
1,652,561,248,3.97712,6.94409
0,652,561,248,48.539,7.30896
0,652,561,248,52.7931,7.70447
1,563,487,206,3.78634,7.6707
1,512,540,183,4.00522,7.63937
0,512,540,183,59.2165,8.07646
0,512,540,183,58.6542,8.50149
0,512,540,183,59.6553,8.92777
0,512,540,183,60.0602,9.35035
1,589,485,170,2.66001,9.29551
1,465,442,124,3.38927,9.24749
1,362,394,97,3.18989,9.19864
1,372,351,49,2.92408,9.14844
0,169,338,21,3.34956,9.10242
0,237,345,23,3.31824,9.05688
1,443,433,111,3.46364,9.01318
0,292,397,19,3.27121,8.96867
1,655,490,192,3.96432,8.93017
1,360,368,30,2.99457,8.88486
1,635,483,220,3.80865,8.84641
1,668,487,174,3.75705,8.80814
1,592,470,172,3.82955,8.77099
1,188,396,23,4.13445,8.73664
1,706,532,251,3.65555,8.69928
0,706,532,251,50.2486,9.00256
0,706,532,251,44.8531,9.26235
0,146,337,26,3.46437,9.22064
0,241,306,19,2.90326,9.17551
1,785,524,232,3.24981,9.13349
0,785,524,232,57.5082,9.47415
1,598,416,102,2.82191,9.42763
1,242,455,76,3.80933,9.38862
1,335,426,102,3.95454,9.35114
1,355,461,121,4.33595,9.31679
