Total Keypoints train: 83

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,174,31,8,3.33178,inf
0,174,31,8,41.964,45.2958
0,174,31,8,41.2695,43.2827
0,174,31,8,49.3558,45.307
0,174,31,8,46.79,45.6778
0,174,31,8,39.2141,44.3851
0,174,31,8,22.8008,40.7877
0,174,31,8,12.0661,36.6846
0,174,31,8,13.6142,33.8008
0,174,31,8,11.6779,31.3427
0,174,31,8,30.581,31.2665
0,174,31,8,16.357,29.9111
0,174,31,8,17.0013,28.8353
0,174,31,8,14.8417,27.7589
0,174,31,8,15.4521,26.8798
0,174,31,8,15.3233,26.1094
0,7,33,12,10.0927,25.1083
0,18,30,11,14.2339,24.4687
0,35,33,10,9.49612,23.6368
0,20,40,14,13.445,23.1004
0,20,40,14,47.7624,24.3335
0,20,40,14,12.5332,23.7716
0,8,41,23,10.854,23.1844
0,7,44,31,12.035,22.6997
0,7,44,31,14.8707,22.3735
0,10,49,26,7.50227,21.7786
0,17,34,16,9.87478,21.3208
0,27,44,19,6.57908,20.7748
0,27,44,19,14.8166,20.562
0,17,12,8,4.95909,20.024
0,16,15,9,7.63056,19.6109
0,16,15,9,14.7339,19.4535
0,16,44,31,5.23325,19.0092
0,20,34,25,7.48133,18.6598
0,20,34,25,6.33678,18.2974
0,14,43,35,6.60864,17.9634
0,11,54,30,6.86771,17.6552
0,22,44,27,7.31662,17.3758
0,13,44,23,6.89712,17.1
0,27,38,13,6.24306,16.8216
0,49,16,6,8.14458,16.6047
0,54,32,8,5.07084,16.3234
0,84,26,9,6.85189,16.0979
0,50,44,13,7.11274,15.8889
1,56,36,13,6.52043,15.676
1,108,41,25,6.80225,15.4788
0,8,38,16,20.3029,15.5837
0,34,34,10,7.39022,15.4094
0,12,27,15,14.4232,15.3888
0,48,41,12,5.83053,15.1938
0,60,36,11,6.41989,15.0183
0,35,43,15,7.51258,14.8711
0,8,54,32,13.0794,14.8366
0,24,47,20,8.17273,14.7109
0,33,39,12,6.96859,14.5675
0,50,37,12,7.70363,14.4427
