Total Keypoints train: 269

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
1,454,75,11,2.54968,inf
0,454,75,11,47.925,50.4747
0,454,75,11,47.6349,49.0548
0,454,75,11,56.7373,51.6157
0,454,75,11,51.7279,51.6437
0,454,75,11,40.3489,49.3847
0,454,75,11,22.2341,44.8596
0,454,75,11,15.3261,40.6406
0,454,75,11,12.2503,37.0918
0,454,75,11,17.0628,34.8663
0,454,75,11,13.6441,32.7441
0,454,75,11,26.5147,32.1778
0,454,75,11,18.7132,31.0557
0,454,75,11,14.9777,29.819
0,454,75,11,17.7412,28.9563
0,454,75,11,29.7266,29.0076
0,454,75,11,15.7205,28.1772
0,454,75,11,17.267,27.5354
0,454,75,11,17.7321,26.9908
0,454,75,11,15.1318,26.3666
0,454,75,11,17.6554,25.9311
0,454,75,11,14.9405,25.4077
0,454,75,11,16.6351,25.0089
0,59,74,18,5.7204,24.1703
0,71,88,31,14.4613,23.7658
0,98,89,19,5.91377,23.0517
0,98,89,19,50.5283,24.1085
0,93,89,17,5.58997,23.4226
0,93,63,10,5.81646,22.7938
0,93,63,10,54.3656,23.8825
0,78,87,28,12.7828,23.5125
0,78,87,28,51.6686,24.4208
0,73,88,17,5.09598,23.8169
0,33,95,22,5.35195,23.2573
0,68,63,14,4.53807,22.7068
0,86,74,22,6.36764,22.2399
0,70,85,17,4.49519,21.747
0,133,67,17,4.5378,21.2819
0,91,95,32,7.33616,20.9149
0,104,68,43,7.78846,20.5783
0,129,71,15,3.86142,20.1604
0,134,79,23,5.21542,19.7959
0,90,77,16,4.15941,19.4236
0,30,101,36,15.1826,19.325
0,61,97,16,5.09801,19.0016
0,146,110,25,4.60965,18.6818
0,157,101,23,4.07792,18.3643
0,150,72,11,3.97526,18.0582
0,86,85,16,4.63356,17.7785
0,38,58,14,6.01092,17.5384
0,90,90,20,4.11484,17.2699
0,117,86,34,6.47727,17.0583
0,100,81,15,4.02236,16.8076
0,49,61,19,7.3804,16.6297
0,56,41,23,11.7246,16.5389
0,112,68,22,6.75867,16.361
0,64,49,20,8.1153,16.2138
0,40,90,44,10.3812,16.1115
0,81,97,15,4.57235,15.9125
0,61,95,21,4.61832,15.7211
0,50,131,31,5.16567,15.5452
0,71,102,17,4.67933,15.367
