Total Keypoints train: 154

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
1,192,64,14,2.67482,inf
0,192,64,14,49.3337,52.0085
0,192,64,14,42.1284,47.0685
0,192,64,14,53.8643,49.3337
1,237,82,43,4.58245,38.1459
0,237,82,43,29.3144,36.3796
0,237,82,43,14.8159,32.7857
0,237,82,43,7.88575,29.2285
0,237,82,43,8.2769,26.6096
1,133,74,36,5.52791,24.2672
0,133,74,36,49.039,26.7444
0,133,74,36,9.01607,25.1327
0,133,74,36,8.49199,23.746
0,133,74,36,9.01811,22.6131
0,95,61,10,2.84728,21.2012
1,82,50,13,5.28599,20.1402
0,93,52,14,5.22346,19.2079
0,98,62,10,3.97715,18.312
1,90,54,16,6.31186,17.6453
1,201,56,17,4.91131,16.9751
0,6,86,54,21.8227,17.2175
1,202,58,20,5.33171,16.6515
0,202,58,20,59.2809,18.5892
1,137,64,25,5.9074,18.0378
1,132,67,27,6.99868,17.5778
0,132,67,27,53.0555,18.9969
1,47,60,15,5.6523,18.4837
0,47,60,15,42.755,19.3826
0,47,60,15,56.6668,20.7142
0,40,46,13,7.70843,20.2657
0,24,60,40,12.0497,19.9919
0,29,62,20,9.27644,19.6462
0,39,89,16,5.45215,19.2026
0,39,89,16,64.3703,20.5714
1,152,69,33,7.34507,20.1823
0,152,69,33,48.7472,20.9985
0,152,69,33,57.5903,22.0149
0,47,63,13,5.15411,21.5592
0,19,57,41,20.9061,21.542
1,62,72,19,5.79737,21.1383
1,54,53,14,4.81698,20.7303
1,43,75,17,4.41246,20.3323
1,67,59,22,6.23193,19.9966
1,72,72,19,4.12735,19.6275
1,73,54,21,8.46081,19.3737
0,39,71,19,7.55909,19.1112
1,107,84,41,8.06237,18.871
1,67,77,26,7.41191,18.6272
1,105,72,29,6.95366,18.384
1,90,74,23,8.05997,18.1733
0,90,74,23,47.1339,18.7525
0,77,52,14,5.93225,18.5011
0,70,47,13,5.7963,18.2568
0,80,51,22,7.66524,18.057
0,116,53,9,4.0588,17.7977
0,78,52,15,6.70498,17.5961
0,65,39,14,7.16168,17.4097
0,86,55,13,4.36271,17.1808
0,111,58,14,4.65209,16.9648
1,258,72,33,5.67898,16.7735
1,110,79,26,6.86177,16.6083
1,99,67,23,6.47438,16.4422
1,249,68,28,5.60121,16.2673
1,200,67,35,5.79741,16.1012
1,132,69,19,6.5487,15.9519
1,157,63,13,3.51087,15.7605
0,126,53,14,4.80903,15.5946
0,111,45,10,3.96876,15.4211
0,82,55,29,7.7208,15.3078
0,68,53,24,8.39327,15.2076
0,121,45,12,5.24082,15.0652
0,90,64,17,4.90971,14.9222
0,82,50,29,7.67819,14.8216
0,74,71,31,7.59462,14.7226
0,81,40,9,4.06582,14.5786
0,74,62,35,8.681,14.4999
0,63,25,12,7.90028,14.4131
0,103,62,18,5.43056,14.2964
0,93,70,15,3.98121,14.1642
0,85,55,14,4.93674,14.0474
1,93,62,14,4.08503,13.9229
0,28,58,17,9.13668,13.8638
0,94,59,10,4.18972,13.7458
0,80,66,15,4.15369,13.6302
1,164,78,37,6.38713,13.544
1,124,85,45,8.18584,13.481
1,96,74,42,9.25225,13.4318
1,90,79,36,10.2886,13.3957
1,89,74,35,9.76878,13.3544
0,89,74,35,48.1949,13.7459
1,86,85,37,9.48819,13.6986
