Total Keypoints train: 577

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,101,176,16,3.09389,inf
0,47,184,21,4.47541,7.5693
0,42,178,20,4.47486,6.02208
0,55,147,19,4.42315,5.4891
0,93,148,11,4.37639,5.21092
1,127,229,25,3.67911,4.90456
1,105,211,27,3.99025,4.75218
1,171,227,64,5.34805,4.8373
1,107,207,34,3.73621,4.69966
1,211,249,77,5.98695,4.8427
0,65,244,20,4.83087,4.84151
1,195,236,80,6.40045,4.98324
0,195,236,80,57.1891,9.33372
1,187,251,79,6.27475,9.09842
0,187,251,79,57.5903,12.5621
1,169,260,81,6.44193,12.1541
0,169,260,81,47.8649,14.386
0,169,260,81,56.8673,16.8849
0,169,260,81,50.4087,18.7474
1,182,243,72,5.82877,18.0674
0,182,243,72,55.0723,19.9177
0,182,243,72,52.1972,21.4548
0,182,243,72,57.6267,23.099
0,182,243,72,53.3274,24.4133
0,182,243,72,58.3466,25.8271
1,113,267,77,5.65451,25.0202
0,113,267,77,51.1719,26.0261
0,113,267,77,34.8179,26.3517
0,113,267,77,59.0772,27.5205
0,113,267,77,58.5756,28.5913
0,113,267,77,49.4611,29.287
0,113,267,77,58.538,30.2306
0,113,267,77,57.0933,31.07
0,113,267,77,51.6286,31.693
0,113,267,77,52.4688,32.3041
0,113,267,77,46.2942,32.7038
0,113,267,77,26.1657,32.5222
0,113,267,77,29.281,32.4346
0,113,267,77,26.1062,32.268
0,113,267,77,36.353,32.3728
0,113,267,77,23.3787,32.1479
1,164,228,68,5.51755,31.4984
1,138,224,43,3.99028,30.8435
0,96,213,17,4.13837,30.2224
0,97,207,16,3.97265,29.6258
0,92,176,14,3.97341,29.0558
0,91,187,13,3.92194,28.5094
1,198,194,41,3.24802,27.9719
0,98,165,14,3.86345,27.4696
0,134,193,13,3.4373,26.9792
0,172,191,24,3.63414,26.5123
1,179,187,45,3.57378,26.0625
1,139,177,45,4.04564,25.6391
1,156,201,66,5.37799,25.2568
1,76,188,24,3.81464,24.8597
0,60,178,27,3.81448,24.4771
1,120,204,47,3.62584,24.1048
1,96,209,32,3.50698,23.7434
1,131,198,50,4.29107,23.408
1,85,217,28,3.5938,23.0722
0,62,216,18,4.05374,22.7552
1,103,185,19,3.60754,22.4413
0,110,172,13,3.70233,22.1391
0,87,219,23,3.75744,21.8473
0,34,231,47,4.18906,21.5714
0,49,184,31,4.37407,21.3068
0,51,215,23,4.29043,21.049
0,33,203,50,5.31491,20.8142
0,125,200,14,3.95012,20.5661
0,55,179,18,4.54283,20.3339
1,119,221,26,4.02086,20.1009
0,66,219,18,4.70801,19.8841
0,91,211,14,4.41416,19.6692
1,100,221,17,4.20085,19.4573
0,118,210,11,4.13926,19.2503
0,30,240,65,5.82594,19.0713
0,12,285,148,9.62851,18.9471
0,14,223,109,9.28358,18.8216
0,61,207,19,4.21299,18.6343
0,77,204,20,4.2966,18.4528
0,71,203,18,4.20537,18.2747
0,78,226,26,4.14943,18.1003
1,85,204,20,3.85945,17.9267
0,38,219,27,4.0286,17.7592
