Total Keypoints train: 385

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,90,132,17,3.47325,inf
0,90,132,17,47.2034,50.6766
0,78,165,16,4.16568,27.4212
0,78,165,16,56.6959,37.1794
1,126,144,41,6.26187,29.45
1,150,154,42,4.55004,24.47
0,150,154,42,53.1827,29.2555
1,144,159,31,3.90984,25.6347
0,144,159,31,52.7539,29.0246
1,163,133,42,5.12531,26.3691
0,163,133,42,42.4645,27.9786
0,70,161,21,4.42384,25.8373
1,129,144,42,4.24165,24.0377
0,129,144,42,52.4222,26.2211
1,80,160,43,6.42633,24.8072
0,80,160,43,51.1039,26.5603
1,145,142,40,5.58017,25.249
1,86,127,38,8.17675,24.2448
0,86,127,38,53.1039,25.8481
0,86,127,38,51.5144,27.1989
0,86,127,38,48.7903,28.2785
0,86,127,38,55.9218,29.5948
1,124,146,47,6.27593,28.5349
0,124,146,47,52.1155,29.5601
0,124,146,47,53.0871,30.5404
0,60,128,12,5.42997,29.536
0,60,128,12,46.5052,30.1887
0,60,128,12,43.0256,30.6641
0,60,128,12,48.3532,31.2959
0,60,128,12,51.5378,31.9939
1,119,135,28,3.99493,31.0606
0,104,153,14,4.24746,30.1956
0,77,129,15,4.20076,29.3833
0,63,134,14,4.2381,28.6213
0,57,143,22,4.18009,27.9024
1,163,128,25,3.86644,27.2157
1,128,122,12,3.82818,26.5661
1,175,140,33,3.99861,25.9561
1,121,136,29,4.10645,25.3811
0,52,137,30,4.12841,24.8362
1,128,139,17,3.58343,24.3049
1,86,131,22,3.94661,23.8083
0,66,154,24,3.9021,23.3344
0,36,135,39,6.68083,22.9471
0,32,151,27,4.5334,22.5286
0,20,182,35,4.45205,22.1269
1,82,162,23,3.92988,21.7313
0,48,111,13,4.25666,21.3595
1,70,133,20,4.09335,20.9998
0,51,107,17,4.36952,20.6604
1,56,158,17,4.2166,20.3315
0,51,137,20,4.20904,20.0154
1,66,137,24,3.873,19.705
1,100,139,27,3.78076,19.4045
1,138,146,33,3.83024,19.1161
1,105,151,29,3.74201,18.8366
0,89,154,16,4.27316,18.5765
1,77,175,29,4.15181,18.3234
0,49,139,14,4.21943,18.0803
0,76,135,18,3.83802,17.8389
0,53,161,33,4.02907,17.6087
0,71,143,14,4.06253,17.3866
0,77,131,11,4.22454,17.1743
1,115,125,23,3.977,16.9649
1,83,144,25,4.15089,16.7646
1,74,135,35,5.27534,16.5879
1,64,157,21,4.0866,16.3985
0,102,130,17,4.03609,16.214
1,91,131,28,3.88801,16.0327
1,112,129,22,3.76281,15.8549
0,114,113,14,3.89712,15.684
0,167,120,27,3.79023,15.5165
1,119,118,24,3.7055,15.3525
1,189,127,33,4.69241,15.2065
1,157,154,20,3.59033,15.0495
0,117,114,10,4.05476,14.9029
1,176,133,39,5.56089,14.78
1,167,146,23,3.89628,14.6386
0,71,155,19,4.63512,14.5104
0,125,139,12,4.19904,14.3798
1,97,141,23,3.94599,14.2494
0,105,134,16,4.20833,14.1255
1,150,123,22,4.15299,14.0038
0,45,144,47,9.8909,13.9543
0,73,146,23,4.74176,13.8446
0,89,130,14,5.05699,13.7412
0,89,130,14,54.3867,14.2139
0,89,130,14,58.4043,14.7218
0,89,130,14,57.498,15.2079
0,33,190,52,8.37718,15.1311
0,25,196,85,13.0478,15.108
0,25,196,85,55.7323,15.5544
0,25,196,85,49.8556,15.9272
0,44,146,21,5.03786,15.8102
1,79,129,22,4.40857,15.6889
1,89,142,27,4.23264,15.5683
0,89,142,27,47.0477,15.8962
0,53,140,28,4.88539,15.7827
1,104,145,28,4.08047,15.6633
1,129,142,26,3.89013,15.5443
1,127,142,28,4.05839,15.4295
0,127,142,28,48.0629,15.7526
0,92,147,14,4.20932,15.6394
1,142,130,31,4.31172,15.5294
1,92,148,27,3.94317,15.418
1,120,144,28,3.91619,15.3085
0,120,144,28,47.7488,15.6145
1,188,160,56,6.28804,15.5274
1,181,159,59,6.3721,15.4426
0,181,159,59,45.9685,15.7226
1,92,153,28,3.96099,15.6157
1,81,141,35,4.71081,15.5175
1,76,145,18,3.9526,15.4142
0,67,132,18,4.29019,15.3158
0,47,113,31,5.99247,15.234
0,96,143,13,4.18455,15.1379
1,134,131,26,3.84386,15.0406
1,141,136,23,3.91282,14.9454
1,120,159,19,4.16792,14.8541
1,110,126,29,4.7471,14.7692
1,89,153,36,5.55938,14.6924
1,119,121,16,4.17396,14.6055
0,82,143,14,4.40135,14.5219
0,90,143,17,4.30208,14.4388
1,156,149,35,4.14735,14.3558
1,148,133,40,5.6876,14.2864
1,127,130,18,3.90497,14.204
1,163,133,40,5.63924,14.1366
1,160,141,36,4.75753,14.0633
1,126,155,38,4.16115,13.9866
1,105,147,21,3.97423,13.9095
1,66,115,27,4.28863,13.8361
1,56,136,23,3.86765,13.7606
1,113,150,47,6.29632,13.7045
1,57,126,19,4.30085,13.6343
0,46,109,14,4.42149,13.566
0,61,146,18,4.35462,13.4983
0,77,153,13,4.20396,13.4305
0,78,133,15,4.1335,13.3631
0,106,149,13,4.00763,13.2958
1,152,120,29,4.50001,13.233
1,116,147,33,3.98373,13.1674
1,123,122,31,4.849,13.1088
0,110,133,14,4.29269,13.0471
1,123,115,29,5.03312,12.9915
1,132,119,16,4.23103,12.9311
1,126,128,22,3.88217,12.8691
1,94,131,13,3.93474,12.8083
1,109,126,25,4.00069,12.7488
1,106,142,28,3.97314,12.6899
1,160,143,36,4.1809,12.6332
1,165,141,37,4.60225,12.58
1,146,135,20,3.78412,12.5221
0,100,123,15,4.07475,12.4669
1,137,122,31,4.6183,12.4159
1,167,136,23,3.76425,12.3601
1,143,147,23,3.74323,12.3049
0,109,138,15,3.98928,12.2519
1,114,138,15,3.99299,12.1997
1,113,127,22,4.15251,12.149
1,111,150,22,4.14762,12.099
0,87,147,19,4.43418,12.0514
0,53,146,23,5.14271,12.0088
1,104,147,25,4.34305,11.9618
1,115,129,29,4.2767,11.9149
1,129,145,34,4.45587,11.8697
0,72,133,15,4.44852,11.825
0,98,146,16,4.29494,11.7799
1,148,125,33,5.233,11.7409
1,141,118,39,6.51003,11.71
1,142,140,33,4.37178,11.6668
1,140,127,30,4.49018,11.6248
1,95,144,40,6.88638,11.5973
0,95,144,40,51.9856,11.8307
0,95,144,40,53.4988,12.0702
1,77,148,26,4.8037,12.0287
0,77,148,26,44.7431,12.2146
0,77,148,26,51.2507,12.4351
0,77,148,26,50.7459,12.6503
0,77,148,26,51.0884,12.8651
0,77,148,26,41.9003,13.0264
0,38,168,19,5.42994,12.9844
0,38,168,19,48.1904,13.1779
0,38,168,19,54.8548,13.4056
0,38,168,19,53.769,13.625
0,38,168,19,51.717,13.8309
1,87,149,31,4.7747,13.7822
0,87,149,31,44.0527,13.9441
0,87,149,31,42.4718,14.0958
1,69,156,19,4.21625,14.0435
0,58,156,23,4.43345,13.9929
0,98,157,14,4.23639,13.9419
1,117,141,28,4.0915,13.8906
0,99,137,18,4.28313,13.8408
1,126,151,25,3.96531,13.7899
1,127,133,11,4.01771,13.7398
1,151,135,29,3.98,13.69
1,108,138,32,4.92866,13.6455
1,50,119,22,5.48724,13.6043
0,106,132,10,4.30817,13.5576
0,78,137,20,4.27628,13.5112
1,118,124,22,4.0466,13.4641
1,156,153,42,5.29835,13.4237
1,116,141,32,4.1091,13.3778
1,108,135,28,4.12749,13.3324
