Total Keypoints train: 893

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
1,383,270,61,2.62462,inf
1,104,289,43,4.48648,7.1111
1,158,295,20,3.71876,5.41493
0,158,295,20,47.4813,19.437
0,158,295,20,45.6017,25.9782
1,330,282,69,3.76042,21.5346
1,333,326,78,3.84481,18.5863
1,374,318,75,3.49124,16.4299
0,374,318,75,41.9355,19.6181
0,116,297,17,4.31507,17.9178
1,367,296,69,3.6197,16.4879
1,318,319,76,3.78549,15.3332
0,48,336,91,7.40708,14.6727
0,122,331,36,4.70998,13.9063
1,234,324,53,3.52443,13.1647
1,365,295,74,3.83127,12.5425
1,388,302,63,3.30309,11.9651
1,360,249,54,3.3839,11.4603
1,359,323,76,3.62408,11.0249
1,351,304,61,3.34427,10.6207
1,308,296,68,3.45963,10.2626
1,410,287,64,3.12908,9.92294
1,370,292,56,3.19126,9.61696
1,313,254,23,3.21936,9.3388
0,306,267,13,3.3266,9.08829
1,302,264,55,3.27859,8.8559
1,335,270,15,3.13684,8.63594
0,254,272,23,3.27995,8.43757
1,394,276,45,3.12676,8.2479
1,388,252,47,3.04444,8.06847
1,363,258,54,3.15843,7.9048
0,388,263,18,3.15649,7.75163
1,373,278,16,3.05429,7.60484
1,407,276,65,3.06717,7.46733
1,335,264,32,3.15125,7.34039
1,229,274,14,3.39511,7.22767
1,196,292,27,3.48292,7.12365
1,251,282,47,3.34123,7.02142
0,187,277,27,3.49216,6.92854
1,259,309,48,3.36341,6.83713
1,235,283,51,3.37303,6.75053
1,367,308,82,4.02105,6.68396
1,224,335,44,3.57853,6.61002
1,157,282,38,3.66496,6.54153
1,245,297,29,3.30046,6.46787
1,346,281,55,3.16722,6.39452
1,308,277,48,3.60516,6.33388
1,252,273,33,3.44831,6.27249
0,244,277,18,3.47717,6.21425
1,246,260,15,3.67908,6.16251
1,236,263,21,3.77283,6.11472
0,61,300,35,5.2605,6.09797
1,196,255,41,3.90969,6.05589
0,196,255,41,52.7287,6.93651
0,196,255,41,45.4194,7.64915
1,194,288,25,4.08048,7.58427
0,79,217,29,4.87767,7.53594
0,79,217,29,48.2881,8.25089
0,79,217,29,53.0307,9.02295
0,79,217,29,51.0337,9.735
0,154,289,35,4.1643,9.64215
0,104,298,26,4.19828,9.55291
0,45,295,35,5.2198,9.48302
0,45,295,35,52.4242,10.1646
0,45,295,35,54.2713,10.8538
0,62,281,33,4.30788,10.7531
0,118,267,22,3.86681,10.6487
0,169,283,22,3.79762,10.5465
0,169,283,22,54.7767,11.1969
0,162,265,14,3.97717,11.0923
1,216,215,18,3.64347,10.9859
0,148,273,20,3.85028,10.8854
0,62,315,28,3.94683,10.789
0,54,280,45,4.21044,10.6989
0,222,259,13,3.46643,10.6012
1,421,273,28,2.74277,10.4964
1,391,283,75,3.51233,10.4045
1,470,285,70,3.47483,10.3145
1,378,318,51,3.32794,10.2249
1,471,291,68,3.28151,10.137
1,472,294,77,4.04567,10.0609
1,415,304,84,4.53856,9.99272
1,425,301,86,4.37767,9.92424
1,415,291,75,3.41369,9.8458
1,370,285,53,3.22994,9.76704
1,328,321,89,4.37944,9.70366
1,405,298,79,3.44475,9.63088
1,379,300,80,4.03245,9.56653
1,347,283,84,4.50134,9.50897
0,347,283,84,46.2554,9.92185
1,351,307,53,3.1947,9.8471
1,257,285,17,3.26788,9.7748
1,308,273,51,3.30346,9.70446
1,466,284,74,3.49412,9.63769
0,149,299,28,4.47664,9.58278
1,374,289,58,3.23558,9.51597
0,387,266,19,3.15978,9.44976
1,383,281,41,3.15805,9.3849
0,378,270,33,3.01483,9.31989
1,368,260,26,2.9231,9.25528
1,345,259,55,3.0709,9.19344
1,315,265,38,3.09159,9.13302
1,302,316,60,3.07647,9.07364
1,249,295,41,3.37042,9.01827
1,212,318,23,3.33,8.96358
0,240,298,19,3.27125,8.90937
1,320,284,43,3.02325,8.85384
1,328,287,69,3.39845,8.80285
1,262,305,53,3.18756,8.75086
0,188,296,16,3.38502,8.70163
1,299,301,32,3.18285,8.65146
1,318,265,42,3.2031,8.60238
1,302,278,22,3.2864,8.55491
0,226,268,20,4.07924,8.5153
1,315,262,24,3.40646,8.47049
0,315,262,24,38.8153,8.73436
0,83,276,31,5.30743,8.70481
0,83,276,31,43.0697,8.99853
1,237,256,33,3.44484,8.95147
0,178,267,15,3.47919,8.90548
1,201,293,20,3.5181,8.86059
1,205,247,28,3.36932,8.8152
0,213,264,18,3.55798,8.77211
1,199,285,43,3.33734,8.72793
0,168,261,15,3.56961,8.68633
1,273,283,25,3.52923,8.64507
0,176,271,18,3.85713,8.60707
1,289,249,34,3.25938,8.56496
0,308,257,22,3.27784,8.52366
0,268,257,16,3.31025,8.48324
1,442,296,41,3.03306,8.44132
1,415,316,28,3.0123,8.39988
1,461,303,78,3.57101,8.36329
1,483,279,84,4.11712,8.33137
1,451,321,89,3.82111,8.29771
1,448,311,97,4.59704,8.2703
1,413,323,104,4.79878,8.24477
1,433,305,97,4.70232,8.21891
1,388,277,58,3.05265,8.18148
1,380,258,57,3.22025,8.14578
1,339,316,59,3.34341,8.11148
1,231,258,18,3.47739,8.07862
0,216,286,15,3.59707,8.04706
0,193,297,18,3.71517,8.01676
