Total Keypoints train: 33

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,12,15,8,6.56663,inf
0,12,15,8,32.4697,39.0363
0,12,15,8,26.2806,32.6585
0,12,15,8,25.947,30.4213
0,12,15,8,19.7785,27.7606
0,12,15,8,19.7671,26.1619
0,12,15,8,23.9252,25.7891
0,12,15,8,18.8501,24.7978
0,12,15,8,16.3854,23.7463
0,12,15,8,16.555,22.9472
0,12,15,8,14.8353,22.136
0,12,15,8,12.891,21.2956
0,12,15,8,12.793,20.587
0,12,15,8,11.2998,19.8726
0,12,15,8,10.9896,19.2381
0,12,15,8,11.2937,18.7085
0,12,15,8,10.7173,18.2091
0,6,13,9,9.81287,17.7152
0,5,23,16,9.72063,17.271
0,7,21,14,9.28625,16.8508
0,7,21,14,10.0427,16.5104
0,10,13,9,9.16976,16.1608
0,17,25,13,8.08512,15.7937
0,17,25,13,15.1527,15.7659
0,17,25,13,12.9755,15.6496
0,5,23,20,12.8525,15.5377
0,5,23,20,11.8807,15.3971
0,16,26,14,7.62584,15.1092
0,16,26,14,9.895,14.923
0,16,26,14,9.62361,14.7403
0,16,26,14,9.6596,14.5709
0,10,15,7,8.89364,14.3878
0,12,16,10,8.81727,14.2137
0,19,14,9,8.46869,14.0396
0,14,20,12,9.50482,13.9062
0,19,17,8,8.51449,13.7522
0,7,22,11,9.06626,13.622
0,8,15,11,9.79712,13.5186
0,8,9,6,18.5024,13.6498
0,8,9,6,35.7169,14.2156
0,8,9,6,45.7165,15.0031
0,8,9,6,15.2929,15.0102
0,8,9,6,8.70959,14.8602
0,8,9,6,13.5661,14.8301
0,5,26,15,8.33147,14.6824
0,5,26,15,9.0134,14.5564
0,12,22,17,8.42908,14.4232
0,15,23,17,8.19378,14.2907
0,10,18,9,8.3628,14.1672
0,10,18,9,10.538,14.0931
0,10,18,9,11.5019,14.0413
0,10,18,9,10.5072,13.972
0,10,18,11,8.39906,13.8648
0,10,18,11,12.6518,13.8419
0,11,18,9,8.19719,13.7374
0,9,22,9,7.83576,13.6301
0,10,19,9,7.91278,13.528
0,14,15,7,7.71552,13.426
0,13,22,9,7.62597,13.326
0,13,22,9,8.35401,13.2418
0,13,22,9,8.36729,13.1605
0,13,22,9,8.35149,13.0817
0,13,22,9,8.09389,13.0012
0,13,22,9,8.19296,12.9249
0,13,22,9,8.68922,12.8587
0,13,22,9,8.68735,12.7946
0,13,22,9,9.40982,12.7433
0,13,22,9,9.50406,12.6949
0,13,22,9,9.58615,12.6492
0,13,22,9,9.97544,12.6105
0,13,22,9,9.83148,12.5708
0,13,22,9,8.75778,12.5171
0,13,22,9,9.11926,12.4699
0,5,10,9,8.21059,12.4115
0,5,10,9,8.65367,12.3607
0,5,10,9,8.67612,12.3116
0,5,10,9,8.59971,12.2628
0,5,24,14,13.407,12.2776
0,5,24,14,9.13016,12.2373
0,5,24,14,9.03122,12.1967
0,5,24,14,8.64522,12.1523
0,5,24,14,8.34168,12.1053
0,5,24,14,8.82738,12.0653
0,5,24,14,9.25001,12.0314
0,5,24,14,10.4442,12.0125
0,5,24,14,9.70695,11.9853
0,5,24,14,9.07006,11.9514
0,5,24,14,9.23617,11.9202
0,5,24,14,9.09496,11.8881
0,5,24,14,8.61698,11.8514
0,5,24,14,9.17574,11.8216
0,5,23,14,8.90217,11.7896
0,5,23,14,8.01258,11.7485
0,6,30,20,7.5985,11.7039
0,6,30,20,7.77847,11.6621
0,7,12,8,8.08525,11.6245
0,9,18,9,8.22816,11.5891
0,13,20,10,8.14379,11.5536
0,14,7,7,8.3897,11.5213
0,5,28,19,9.63205,11.5022
0,5,28,19,10.0524,11.4877
0,5,28,19,10.5169,11.4781
0,5,28,19,11.0428,11.4738
0,5,28,19,10.3979,11.4634
0,5,28,19,10.5959,11.455
0,5,28,19,11.4252,11.4548
0,5,28,19,13.9212,11.478
0,5,28,19,11.8634,11.4816
0,5,28,19,10.2669,11.4704
0,5,28,19,10.4245,11.4608
0,5,28,19,9.69752,11.4448
0,5,28,19,9.54008,11.4276
0,5,28,19,9.11627,11.407
0,5,28,19,8.61609,11.3823
0,5,28,19,8.58031,11.3577
0,5,28,19,8.37541,11.3318
0,8,13,6,7.16908,11.2959
0,8,12,5,8.46045,11.2716
0,9,20,8,8.4473,11.2477
0,7,21,8,8.88242,11.2278
0,5,21,11,10.2223,11.2194
0,5,21,11,9.96392,11.2091
0,5,21,11,10.5987,11.2041
0,6,16,11,10.232,11.1962
0,6,16,11,10.1318,11.1876
0,6,16,11,10.2441,11.18
0,6,16,11,10.1575,11.1719
0,6,16,11,10.4792,11.1665
0,6,16,11,11.0551,11.1656
0,6,16,11,11.1732,11.1656
0,6,16,11,11.9643,11.1718
0,6,16,11,11.9303,11.1776
0,6,16,11,12.2421,11.1856
0,6,16,11,14.8743,11.2134
0,6,16,11,12.1499,11.2204
0,6,16,11,12.2815,11.2282
0,6,16,11,11.5933,11.2309
0,6,16,11,11.4147,11.2323
0,6,16,11,11.9089,11.2372
0,6,16,11,10.9689,11.2352
0,11,20,9,10.1929,11.2278
0,17,11,6,11.2088,11.2276
0,17,11,6,15.2042,11.2557
0,17,11,6,20.3351,11.3191
0,17,11,6,47.4249,11.5699
0,17,11,6,44.9555,11.8001
0,17,11,6,44.0648,12.0211
0,17,11,6,48.37,12.2684
0,17,11,6,41.3823,12.4651
0,17,11,6,44.1069,12.6775
0,17,11,6,49.1493,12.9206
0,17,11,6,43.5939,13.1237
0,17,11,6,44.821,13.3323
0,17,11,6,45.0918,13.5399
0,17,11,6,48.1628,13.7647
0,17,11,6,39.4101,13.9301
0,17,11,6,45.1059,14.13
0,17,11,6,48.3159,14.3477
0,17,11,6,48.6426,14.5648
0,17,11,6,48.1766,14.7762
0,17,11,6,47.3259,14.9796
0,17,11,6,40.1946,15.1362
0,17,11,6,48.3465,15.3412
0,17,11,6,48.6307,15.5455
0,17,11,6,47.6079,15.741
0,17,11,6,40.7515,15.8925
0,17,11,6,49.2636,16.0936
0,17,11,6,46.8622,16.2778
0,17,11,6,41.4609,16.4277
0,17,11,6,46.891,16.608
0,17,11,6,40.7499,16.75
0,17,11,6,44.9661,16.915
0,17,11,6,47.0277,17.0901
0,17,11,6,41.7012,17.2323
0,17,11,6,43.4742,17.3831
0,17,11,6,45.5042,17.5438
0,17,11,6,46.0149,17.7056
0,17,11,6,47.6647,17.8749
0,17,11,6,41.6283,18.0083
0,17,11,6,46.9945,18.1702
0,17,11,6,46.1298,18.3256
0,17,11,6,47.7695,18.4882
0,17,11,6,48.7353,18.6544
0,17,11,6,47.3398,18.8112
0,17,11,6,45.4687,18.9561
0,17,11,6,49.1159,19.1191
0,17,11,6,48.972,19.2796
0,17,11,6,48.5677,19.4362
0,17,11,6,48.4286,19.5904
0,17,11,6,47.5173,19.7382
0,17,11,6,42.1763,19.8563
0,17,11,6,40.5976,19.9649
