Total Keypoints train: 286

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
1,80,112,14,3.28717,inf
0,80,112,14,49.7811,53.0682
0,36,102,25,5.72715,29.3977
0,36,102,25,58.0141,38.9365
1,63,132,43,8.18725,31.2492
1,127,136,49,6.45153,26.2897
0,127,136,49,50.5972,30.3409
1,62,113,23,3.85229,26.5568
0,36,106,19,5.00102,23.8623
1,63,116,24,4.11311,21.668
1,89,130,39,6.29121,20.1303
0,39,117,29,5.95646,18.8418
1,94,150,38,5.18809,17.704
1,93,128,42,7.44829,16.9151
1,92,106,29,5.83713,16.1238
1,124,130,49,7.08099,15.5209
1,84,113,34,6.45452,14.9543
0,88,112,13,4.10388,14.316
0,80,72,9,4.04958,13.7457
1,142,107,31,4.78094,13.2738
1,164,109,40,5.62775,12.8915
0,38,97,18,5.85582,12.5565
1,109,123,28,3.9954,12.1674
0,109,123,28,56.8897,14.1118
0,84,98,11,3.93289,13.6877
0,43,123,17,4.15897,13.3065
1,104,131,36,5.43679,13.0039
1,134,106,45,6.93482,12.7791
0,55,110,25,5.02177,12.502
1,91,99,29,6.59427,12.2983
1,142,136,55,5.91423,12.0855
0,142,136,55,55.3221,13.4802
1,87,117,31,6.66658,13.2673
1,121,123,47,6.51674,13.0628
1,121,127,40,5.93747,12.8532
0,50,127,22,4.09326,12.6029
0,29,127,25,4.27233,12.3715
0,67,111,16,3.96137,12.1442
1,114,120,38,5.88969,11.9796
1,90,86,26,5.6171,11.8165
1,111,110,12,3.53427,11.6094
0,83,108,18,3.78533,11.4186
0,103,117,17,3.83365,11.238
1,101,115,22,3.7103,11.0629
1,83,112,24,3.81799,10.8983
1,65,99,16,3.86365,10.7419
0,34,106,20,4.27988,10.6015
0,22,114,22,4.25008,10.4663
1,68,109,25,3.93071,10.3302
0,28,100,25,4.7032,10.2153
0,60,99,12,3.90663,10.0892
0,70,114,14,4.06368,9.97101
1,76,130,23,3.82148,9.85275
1,74,109,31,5.23116,9.76555
1,97,114,35,5.50952,9.68673
0,54,101,17,3.97907,9.58296
0,45,115,17,4.00985,9.48344
0,87,103,22,3.92521,9.38592
1,89,96,25,4.22368,9.29692
1,57,103,18,3.81085,9.20394
1,55,114,22,3.81216,9.11407
1,87,121,36,5.26537,9.05098
1,55,80,17,3.85728,8.96721
0,35,92,22,4.60809,8.89802
0,41,118,22,4.30354,8.82623
0,23,116,26,4.26221,8.75601
0,57,101,14,4.02945,8.6844
0,70,115,15,4.16672,8.61697
0,39,89,19,4.13117,8.551
0,10,109,32,6.63896,8.52329
0,16,135,72,8.40005,8.52153
0,25,128,30,4.40558,8.46356
0,30,122,21,4.08665,8.40277
0,58,119,15,4.02009,8.34273
1,118,118,50,7.40521,8.33006
1,58,116,25,4.09511,8.2736
1,90,109,30,4.99928,8.23051
0,22,95,33,6.89423,8.21316
0,19,100,31,6.42868,8.19028
0,12,112,70,9.00713,8.20062
0,59,85,17,4.09562,8.14931
1,83,118,21,3.74782,8.09497
1,144,131,42,5.50837,8.06343
1,84,115,20,3.83615,8.0125
1,134,133,48,6.41943,7.99353
1,82,98,33,6.45644,7.97545
1,92,113,34,5.45009,7.94608
1,117,125,47,7.22304,7.93777
0,38,110,16,4.36706,7.8972
1,101,104,26,3.98209,7.85321
1,175,117,43,5.8385,7.83082
1,112,110,26,4.0827,7.78963
1,180,109,47,6.15369,7.77185
1,142,128,44,5.7559,7.75017
1,168,96,44,6.57026,7.73762
1,145,121,34,5.15448,7.71043
1,132,97,25,4.55691,7.67758
0,60,106,17,3.92897,7.63894
1,70,110,16,3.79626,7.59972
1,74,97,24,4.66046,7.57003
1,111,110,30,5.01427,7.54448
1,125,108,32,5.45111,7.52375
1,130,101,37,6.31465,7.5119
1,115,122,29,4.14723,7.47923
1,110,104,18,3.90688,7.44488
1,109,104,24,3.78961,7.41007
1,92,113,13,3.82256,7.37622
0,58,115,15,4.00632,7.34473
0,49,107,15,4.06461,7.31436
1,156,118,43,6.06663,7.30291
1,95,101,31,5.86816,7.28987
1,118,112,33,5.94492,7.27775
1,66,105,33,7.80488,7.28246
1,125,107,40,7.14117,7.28121
1,129,119,46,7.30776,7.28144
1,71,102,28,6.35236,7.27336
1,124,129,47,7.09694,7.27184
0,41,144,32,5.31593,7.25512
1,74,117,22,3.99848,7.22752
0,48,101,15,4.36949,7.20351
0,112,117,15,3.85886,7.17564
0,86,109,17,4.07221,7.14999
0,98,96,13,4.24358,7.12616
