Total Keypoints train: 128

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,26,70,18,4.43597,inf
0,26,70,18,25.6944,30.1304
0,26,70,18,43.1593,36.6448
0,5,82,48,24.3819,32.5572
0,5,82,48,32.913,32.6462
0,5,82,48,19.5458,30.0261
0,5,82,48,21.2147,28.5575
0,5,82,48,19.4909,27.2623
0,5,82,48,16.6229,25.9324
0,5,82,48,15.7562,24.8017
0,6,83,65,13.8845,23.71
0,34,47,13,6.95207,22.1865
0,17,59,23,9.76858,21.1517
0,50,46,14,7.22157,20.0801
0,33,68,23,7.46475,19.179
0,30,63,18,6.6794,18.3457
0,43,53,12,4.4836,17.4793
1,31,68,15,4.4606,16.7135
0,31,62,15,5.21769,16.0749
0,21,59,27,9.66127,15.7373
0,29,63,16,6.06981,15.2539
0,22,63,15,5.34779,14.7822
1,36,59,15,5.61073,14.3653
0,69,57,12,4.25311,13.9257
1,55,64,11,4.26294,13.5231
1,47,66,16,4.95766,13.1804
0,50,63,14,4.35578,12.841
0,67,46,10,4.09341,12.517
0,73,53,13,4.72059,12.2386
0,85,55,9,4.06512,11.9568
0,84,48,11,4.10917,11.6952
0,76,47,9,4.15289,11.4519
0,75,44,8,4.07662,11.2214
1,66,47,10,3.76926,10.9956
0,59,56,11,3.98951,10.7895
0,53,50,9,4.14652,10.5997
1,55,36,9,5.05257,10.4456
0,43,64,13,4.52917,10.2857
0,30,47,11,4.96019,10.1456
0,15,62,13,5.02886,10.0144
0,8,74,50,15.6299,10.1548
0,22,57,23,10.6975,10.168
0,17,54,15,6.64055,10.084
0,16,55,16,8.11497,10.0382
0,10,67,22,9.22884,10.0198
0,12,65,23,9.9368,10.018
0,15,67,23,9.34466,10.0033
0,31,68,22,8.35584,9.96829
0,37,62,21,7.57116,9.91835
0,25,59,18,8,9.8792
0,23,73,23,7.94295,9.84048
0,23,70,23,8.17895,9.8079
0,27,65,15,4.79014,9.7114
0,26,66,14,4.67297,9.61634
0,26,65,15,4.91137,9.52921
0,17,58,16,8.51853,9.51083
0,17,58,16,61.0542,10.4313
0,44,49,13,7.19088,10.3744
0,22,67,14,5.44345,10.2894
0,22,67,14,67.4673,11.2585
0,34,51,15,6.77557,11.1838
0,11,61,17,7.78888,11.1281
0,29,64,17,5.99995,11.0454
1,41,63,14,4.13933,10.9358
0,41,63,14,54.0628,11.6097
0,41,63,14,58.5756,12.3322
0,41,63,14,57.5279,13.017
0,41,63,14,49.1764,13.5567
0,41,63,14,59.3892,14.2307
0,41,63,14,60.4306,14.9003
0,36,62,14,4.73265,14.755
0,36,62,14,60.6718,15.4017
0,36,62,14,60.1032,16.0226
0,36,62,14,59.6375,16.62
0,36,62,14,56.9221,17.1647
0,36,62,14,56.341,17.687
0,36,62,14,52.4793,18.1448
0,36,62,14,52.0695,18.5854
0,36,62,14,41.4146,18.8781
0,36,62,14,33.5515,19.0638
0,36,62,14,24.4943,19.1317
0,41,62,13,4.6482,18.9529
0,41,62,13,69.1616,19.5652
0,41,62,13,60.0275,20.0527
0,41,62,13,62.512,20.5582
0,41,62,13,58.8443,21.0086
0,41,62,13,48.96,21.3336
0,41,62,13,57.3753,21.7479
0,41,62,13,61.1994,22.1962
0,41,62,13,40.4434,22.4012
0,41,62,13,27.9096,22.4624
0,41,62,13,25.8424,22.4996
0,41,62,13,36.8798,22.6559
0,41,62,13,24.4827,22.6755
0,41,62,13,37.1565,22.8296
0,41,62,13,24.8899,22.8512
0,41,62,13,36.7673,22.9962
0,41,62,13,23.1954,22.9983
0,41,62,13,38.8516,23.16
0,41,62,13,25.5434,23.1841
0,41,62,13,53.2002,23.4843
0,41,62,13,25.02,23.4995
1,34,67,15,4.20378,23.3103
0,34,67,15,49.2249,23.5619
0,34,67,15,52.1407,23.8367
0,31,59,13,4.82943,23.6557
0,31,59,13,57.8166,23.9779
0,31,59,13,49.4827,24.2163
