Total Keypoints train: 1952

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,647,552,24,2.19464,inf
0,369,523,19,3.20574,5.40038
1,293,584,28,3.57426,4.48732
0,252,479,20,4.13071,4.36845
0,595,507,16,2.93147,4.00921
1,940,566,122,2.23417,3.6542
1,893,556,56,2.42121,3.4487
1,748,529,68,2.55925,3.32163
0,785,500,15,2.60144,3.23161
1,870,612,115,2.54941,3.15581
1,975,571,113,2.38421,3.07865
1,790,545,108,2.62056,3.03701
0,472,603,19,3.03354,3.03672
0,472,603,19,46.6003,6.38776
1,875,568,122,2.53168,6.11232
1,746,579,49,2.59619,5.87792
0,506,481,18,2.79786,5.68541
0,698,496,18,2.56988,5.50215
0,698,496,18,42.4826,7.55661
0,707,501,18,2.50744,7.29087
0,889,515,23,2.47013,7.04983
1,997,534,78,2.27578,6.8225
1,975,553,72,2.24162,6.61427
0,975,553,72,49.608,8.48356
1,931,499,78,2.3714,8.22889
1,916,524,37,2.41126,7.99619
1,994,560,127,2.45946,7.78323
0,708,578,18,2.73585,7.59629
0,545,530,18,2.99932,7.43212
0,473,503,22,2.8887,7.27545
0,536,486,27,2.6938,7.12273
1,818,488,51,2.45176,6.97205
1,753,513,43,2.56471,6.83432
0,587,498,17,2.84386,6.7134
1,727,542,32,2.85795,6.6
0,197,485,35,3.4193,6.50912
0,297,480,25,3.13606,6.41543
0,483,537,22,3.08024,6.32529
1,679,541,40,2.67297,6.22917
0,598,553,18,2.88383,6.1434
1,866,593,108,2.59431,6.05467
0,783,481,15,2.75938,5.9743
1,869,542,116,2.52628,5.8922
1,887,583,125,2.57384,5.81503
1,777,572,63,2.64263,5.74293
0,618,585,17,2.86098,5.67889
0,654,518,19,2.86453,5.6177
1,649,493,35,2.89547,5.55978
0,312,570,44,3.50731,5.51702
0,538,573,19,3.0205,5.46608
0,419,494,27,3.11051,5.41896
0,494,534,22,3.01727,5.37187
1,788,557,108,2.69732,5.32044
1,783,537,75,2.62945,5.26966
1,965,639,186,3.22942,5.23188
1,979,656,200,3.2048,5.19503
1,886,633,157,2.84142,5.153
1,966,561,105,2.4214,5.10507
0,721,535,31,2.62928,5.06239
0,679,566,23,2.58721,5.02044
0,877,519,15,2.41266,4.97697
0,986,523,15,2.24283,4.93215
0,831,528,23,2.42767,4.89176
0,772,484,21,2.48257,4.85352
0,556,552,18,2.98517,4.82432
0,604,502,25,2.87979,4.79441
0,646,506,29,2.79178,4.76406
0,596,490,33,2.84772,4.73546
0,395,520,41,3.0671,4.71093
0,588,539,20,2.81074,4.68339
1,670,527,46,2.68015,4.65477
0,691,549,22,2.71673,4.62747
1,821,526,18,2.46356,4.59742
1,737,550,21,2.60445,4.57012
1,691,495,33,2.62149,4.54379
1,1044,590,95,2.26095,4.51335
1,944,516,90,2.35693,4.48497
0,712,503,14,2.7416,4.46233
1,864,537,29,2.43579,4.43635
1,990,530,18,2.24631,4.40863
1,940,503,55,2.26438,4.38183
1,1002,485,72,2.225,4.3552
1,791,514,25,2.43574,4.33179
1,881,607,74,2.44802,4.30909
1,834,585,24,2.46409,4.28713
0,689,508,19,2.75216,4.26907
0,337,516,34,2.99832,4.2543
1,697,491,21,2.55781,4.2348
0,677,524,29,2.57122,4.21589
1,838,549,33,2.43956,4.19593
1,622,518,27,2.64136,4.17866
1,672,594,50,2.65945,4.16197
1,939,590,109,2.52981,4.14422
0,446,486,34,2.87503,4.13058
0,572,521,27,2.66646,4.115
1,823,543,47,2.41837,4.09714
0,859,516,22,2.44144,4.0799
0,837,564,36,2.42872,4.06287
0,367,517,29,2.72387,4.04921
0,359,538,26,2.92788,4.03788
1,582,506,33,2.56539,4.02316
0,286,417,25,3.00221,4.01305
0,320,505,31,2.95381,4.00267
0,510,511,24,2.74255,3.99043
0,535,529,26,2.776,3.97875
1,872,600,83,2.47116,3.9644
1,786,648,129,2.63951,3.9519
0,476,584,26,3.22382,3.94509
0,389,441,14,3.13213,3.93756
1,1073,609,68,2.34226,3.92293
1,967,654,119,2.40626,3.90914
0,967,654,119,45.0124,4.27944
1,737,628,49,2.72282,4.26554
1,588,531,46,2.86931,4.25319
1,890,532,87,2.3793,4.23675
1,927,508,89,2.41745,4.22093
0,927,508,89,42.6858,4.55252
1,586,612,110,2.99165,4.53918
0,710,530,14,2.94435,4.52567
0,572,492,17,2.82303,4.51136
1,863,528,43,2.35223,4.49337
1,824,544,22,2.45691,4.47654
1,701,474,35,2.53295,4.4606
0,995,508,40,2.34084,4.44337
1,889,497,50,2.40284,4.42691
0,839,505,15,2.4068,4.41075
0,673,503,26,2.50158,4.3956
1,761,457,38,2.44627,4.38025
1,893,518,65,2.36227,4.36449
1,873,557,67,2.48375,4.34991
1,982,504,19,2.43764,4.3352
1,865,590,98,2.54362,4.32152
1,884,528,20,2.58841,4.30839
1,855,530,50,2.55861,4.29524
0,298,586,39,3.85426,4.29194
0,404,550,31,3.88828,4.28895
0,404,550,31,53.9662,4.65423
0,404,550,31,50.3476,4.98776
0,404,550,31,43.8153,5.26912
0,404,550,31,48.3672,5.57917
0,404,550,31,51.0672,5.90409
0,404,550,31,52.3424,6.23344
0,404,550,31,51.8892,6.55496
0,223,554,32,4.24032,6.53877
0,223,554,32,53.1153,6.86222
0,223,554,32,52.0534,7.17388
0,223,554,32,40.2189,7.40022
0,223,554,32,50.7588,7.69517
1,530,547,21,3.22759,7.66499
0,530,547,21,52.3339,7.96478
0,529,546,27,3.04739,7.932
0,379,550,24,3.21946,7.90079
0,364,514,28,3.25325,7.87021
1,679,503,33,2.63974,7.83603
0,524,547,19,2.9559,7.80434
1,830,503,27,2.58762,7.77068
