Total Keypoints train: 2704

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,901,576,18,1.92842,inf
0,263,658,30,3.41633,5.34475
0,311,680,32,3.1873,4.26603
0,329,682,31,3.39662,3.97623
0,363,737,29,3.45392,3.84565
1,624,652,26,2.65198,3.60692
0,973,688,15,2.4133,3.40798
1,1216,721,17,2.16678,3.23067
1,1223,681,32,2.03096,3.0807
1,1346,742,121,2.08011,2.96953
1,1362,655,100,2.07875,2.88045
1,1565,719,108,1.93064,2.7941
1,1438,725,96,1.98833,2.72695
1,1456,713,61,1.96893,2.66864
1,1605,714,59,1.8892,2.61297
1,1480,680,65,1.92784,2.56729
1,1362,632,71,1.98939,2.53118
0,1362,632,71,42.8743,4.9043
1,1458,721,102,1.98464,4.7421
1,1494,662,40,1.9507,4.59518
1,1442,681,60,1.9584,4.46334
1,1262,690,33,2.06248,4.34901
0,1251,689,26,2.13657,4.24845
1,1425,643,52,1.93004,4.14765
0,1186,671,22,2.21077,4.06694
0,1234,677,15,2.08345,3.98761
0,1196,726,20,2.12148,3.91583
1,1156,679,28,2.11806,3.84925
0,965,695,16,2.42506,3.79838
0,699,678,40,2.71316,3.76096
0,718,654,21,2.61769,3.72285
0,1074,674,20,2.31948,3.67758
1,1144,665,17,2.23026,3.63235
1,982,692,17,2.29632,3.59187
1,1134,745,39,2.20136,3.55097
0,1035,652,16,2.27715,3.51458
1,1320,730,55,1.98992,3.47222
0,1102,624,18,2.10986,3.4354
0,1269,631,13,2.01772,3.3981
1,1556,736,73,1.84478,3.35827
1,1338,751,96,2.00264,3.32438
1,1659,732,139,1.78596,3.28685
0,1281,637,19,1.99068,3.25599
1,1580,663,19,1.74135,3.22077
1,1757,723,93,1.70989,3.18643
1,1642,705,145,1.8357,3.15641
1,1761,745,89,1.70981,3.12497
1,1593,726,170,1.77959,3.09634
1,1509,751,104,1.8452,3.07028
1,1180,725,21,2.21974,3.05292
1,1148,711,91,2.18952,3.03565
1,1344,737,162,2.04398,3.01621
1,1359,659,41,1.9432,2.99557
1,1782,704,143,1.6475,2.97014
1,1856,712,45,1.70606,2.94673
1,1583,714,135,1.85425,2.92686
0,1316,663,82,2.04486,2.91111
1,1355,696,45,1.91453,2.89363
1,1439,669,41,1.83483,2.87537
1,1611,708,46,1.78755,2.85694
1,1091,693,26,2.08911,2.84414
1,1280,623,21,1.9471,2.82943
0,1246,675,25,2.0181,2.81635
0,1029,623,23,2.27542,2.80776
1,1339,708,90,2.07201,2.79627
1,1162,713,73,2.2777,2.78829
1,944,707,101,2.44359,2.78307
0,1045,667,13,2.29088,2.77572
0,784,576,16,2.33793,2.76928
1,1416,731,26,1.94353,2.75731
1,1250,708,45,2.05174,2.74723
1,1023,662,29,2.40568,2.74242
1,894,702,56,2.56414,2.73995
0,468,659,32,3.12029,2.74516
1,674,675,55,2.89212,2.74714
0,674,675,55,41.4064,3.2626
0,760,633,34,2.82648,3.25686
0,714,657,17,2.82877,3.2513
0,816,609,19,2.45497,3.24109
0,1129,660,14,2.15218,3.22731
0,940,627,16,2.35228,3.21637
1,1380,713,82,2.03822,3.20183
1,1215,712,95,2.20674,3.18969
1,1019,763,101,2.37964,3.17993
1,1093,751,73,2.35402,3.1701
0,494,739,39,3.14058,3.16975
0,1120,669,19,2.24005,3.15894
1,1380,627,17,1.94219,3.14496
1,1524,660,20,1.91124,3.13094
1,1859,768,136,1.69694,3.11482
1,1849,734,104,1.70332,3.09914
1,1819,720,77,1.7131,3.08391
1,1877,731,81,1.74282,3.06933
1,1727,717,117,1.76028,3.05526
0,1267,664,19,2.02318,3.04428
0,1187,657,25,2.04295,3.03374
1,1386,708,59,1.98869,3.02285
1,1511,726,135,1.98468,3.01215
1,1328,702,93,2.03979,3.00223
1,1222,714,51,2.03639,2.99247
1,1380,702,93,1.97187,2.98226
1,1383,642,99,1.99452,2.97248
0,928,664,17,2.23711,2.96527
1,1399,721,92,1.93111,2.95523
1,1647,742,135,1.90798,2.94516
1,1761,691,109,1.84134,2.93465
1,1737,730,152,1.8252,2.92419
0,1429,652,19,1.89992,2.91461
1,1821,732,185,1.86253,2.90487
1,1765,771,87,1.70085,2.89383
1,1799,734,161,1.76059,2.88352
1,1600,749,95,1.89394,2.87461
0,1312,720,25,2.0413,2.86717
