Total Keypoints train: 1546

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,507,450,16,2.43622,inf
0,507,450,16,51.1114,53.5476
0,507,450,16,44.3283,48.938
0,507,450,16,63.3198,53.7319
0,507,450,16,58.879,55.0187
0,91,542,46,4.23117,44.8612
0,91,542,46,64.7879,48.1823
0,91,542,46,59.574,49.8097
0,14,520,92,5.6113,44.2849
0,8,694,266,17.9259,41.3561
0,6,926,415,18.7729,39.0978
0,6,926,415,56.6255,40.6912
0,80,404,34,4.70289,37.6922
0,196,467,42,3.57665,35.0679
0,241,454,23,3.42154,32.8075
0,237,441,21,3.41082,30.8477
0,199,404,24,3.51627,29.1395
0,243,379,18,3.38303,27.6244
0,182,462,41,3.49902,26.2841
0,84,505,31,4.03228,25.1129
0,252,427,22,3.36275,24.0254
1,391,465,58,3.00975,23.0247
1,756,576,205,3.477,22.1362
1,672,545,176,3.48588,21.3253
1,678,594,214,3.57767,20.5858
1,656,566,205,3.73882,19.9119
1,685,526,182,3.54171,19.2823
1,638,539,190,3.93404,18.7138
1,682,532,159,3.16678,18.1586
1,649,545,146,3.17578,17.6419
0,421,461,33,2.87458,17.1497
1,623,540,149,3.16421,16.6985
1,688,523,133,2.69713,16.261
1,589,449,29,2.46667,15.843
1,552,532,103,2.63218,15.4544
1,707,546,156,2.86812,15.0948
1,549,573,164,3.60242,14.7756
1,331,441,23,2.79245,14.4517
0,567,451,58,2.64219,14.1409
0,509,445,22,2.68428,13.8472
1,353,428,63,2.8362,13.5719
1,515,504,83,2.61617,13.3047
1,558,486,45,2.45955,13.0465
1,589,474,82,2.47911,12.8007
1,568,474,60,2.42263,12.5649
1,708,524,111,2.36979,12.3383
0,638,487,81,2.40849,12.1224
0,507,467,20,2.55832,11.9189
1,638,577,88,2.39474,11.7205
1,642,509,101,2.52634,11.5329
1,570,485,79,2.56623,11.3536
1,538,525,96,2.7737,11.1853
1,583,491,72,2.51875,11.0187
0,182,388,23,3.13318,10.8699
0,363,462,19,2.79701,10.7204
0,315,457,19,2.87959,10.5778
0,447,485,23,2.63368,10.436
1,793,553,169,2.90043,10.3038
1,603,500,125,2.76381,10.1738
1,497,480,78,2.55305,10.0446
1,556,468,39,2.48719,9.91864
1,634,516,69,2.40408,9.79545
1,793,570,213,2.88983,9.68407
1,902,638,265,3.1969,9.5811
1,572,500,110,2.64001,9.47264
1,568,546,183,3.70611,9.38393
1,528,546,166,3.64065,9.29691
0,528,546,166,47.6393,9.86918
1,471,533,165,3.82034,9.78023
1,452,557,179,4.3999,9.70225
0,452,557,179,56.8149,10.3753
1,446,526,169,4.51581,10.2928
0,446,526,169,52.829,10.8835
1,386,447,68,2.93413,10.7746
1,414,441,21,2.75028,10.6662
1,357,433,19,2.88709,10.5625
1,510,498,50,2.71334,10.4592
1,416,496,103,2.96677,10.3619
1,331,443,30,3.00012,10.2675
1,527,597,207,4.01799,10.1884
1,447,598,141,3.14284,10.1003
1,495,531,118,2.86516,10.011
0,321,394,18,2.95606,9.92499
0,387,443,15,2.85187,9.83977
1,501,434,20,2.66958,9.75441
1,493,523,91,2.80198,9.67261
1,467,492,101,2.86425,9.59345
1,343,557,65,3.32753,9.52143
1,336,491,94,3.33308,9.4511
0,336,491,94,48.4683,9.8895
1,352,449,66,3.13594,9.81446
0,133,511,30,4.18831,9.75263
0,229,463,30,3.48501,9.68451
0,193,471,41,3.47671,9.61776
0,165,463,46,3.67078,9.55449
0,184,435,33,3.54626,9.49125
0,199,450,29,3.76593,9.43161
0,227,473,24,3.52787,9.37074
1,226,484,72,3.64748,9.31234
1,276,547,107,3.55725,9.25421
1,273,527,117,3.60196,9.19769
1,289,535,91,3.45136,9.1408
1,432,513,134,3.73013,9.08775
1,418,506,115,3.0776,9.0294
1,445,522,103,3.03412,8.97175
1,417,487,95,3.07193,8.91556
1,371,444,77,3.05229,8.86025
1,561,545,117,2.6997,8.80267
1,490,577,140,3.07379,8.74963
1,637,566,175,3.34883,8.70008
1,536,518,96,2.74872,8.64598
0,369,491,19,2.877,8.594
1,563,481,97,2.54879,8.54003
1,450,465,63,2.84011,8.48959
1,582,489,64,2.58556,8.4378
1,629,498,104,2.51205,8.38627
1,358,466,19,2.77223,8.33787
1,680,599,158,2.94517,8.29178
1,607,579,157,3.0425,8.2473
1,616,587,172,2.91764,8.20251
1,615,571,172,3.33159,8.16192
1,556,515,116,2.68463,8.11665
1,611,505,119,2.72964,8.07249
1,541,504,92,2.62153,8.02818
1,438,539,100,3.03197,7.98789
1,537,507,67,2.63621,7.94507
1,537,479,75,2.71026,7.90353
1,640,564,173,3.40758,7.86813
1,731,580,203,3.58913,7.8347
1,619,573,170,3.35581,7.79998
1,673,585,222,3.88565,7.76987
1,659,611,183,3.54634,7.73762
1,632,544,170,3.52448,7.70571
1,532,535,130,3.06401,7.67081
1,503,485,123,3.19332,7.63739
1,512,471,117,3.21846,7.60466
1,571,577,167,3.66182,7.57567
1,517,561,165,3.28017,7.54431
1,552,557,154,3.71883,7.51659
1,532,563,175,3.99957,7.49129
1,574,582,176,4.01787,7.46648
1,436,501,47,2.97768,7.43465
1,645,538,175,3.60698,7.40769
1,706,522,169,3.34924,7.37931
0,226,484,28,4.1481,7.35687
0,226,484,28,52.2987,7.66681
1,662,535,204,3.94479,7.64132
0,662,535,204,48.3861,7.9185
0,662,535,204,48.8738,8.19522
0,662,535,204,51.1351,8.48341
0,662,535,204,48.0772,8.74737
0,662,535,204,48.4941,9.01059
0,662,535,204,56.8789,9.32551
0,662,535,204,54.8304,9.62293
0,50,548,151,7.80805,9.61115
0,50,548,151,46.4121,9.84857
0,50,548,151,51.4165,10.115
0,50,548,151,58.6887,10.4244
0,50,548,151,60.9939,10.7445
0,50,548,151,26.9221,10.8462
1,430,531,128,3.191,10.7984
0,430,531,128,57.4877,11.0884
0,155,551,60,4.21013,11.0459
1,542,463,133,3.54038,10.9999
1,484,497,127,3.42614,10.9537
1,594,545,156,3.4223,10.908
1,497,582,173,4.01004,10.8665
1,653,548,181,3.67897,10.8235
1,694,603,229,3.95593,10.7826
1,451,584,197,4.78284,10.7471
1,545,613,211,4.21509,10.7086
1,616,647,233,4.3273,10.6713
0,616,647,233,51.8622,10.9108
0,616,647,233,47.8332,11.1242
0,616,647,233,56.6025,11.3856
0,196,474,54,4.31044,11.3452
0,196,474,54,44.799,11.5353
0,196,474,54,44.0643,11.719
0,196,474,54,57.3165,11.9752
0,196,474,54,42.5209,12.1458
0,196,474,54,50.0179,12.3562
0,196,474,54,55.258,12.5933
0,196,474,54,56.8927,12.8367
0,196,474,54,29.833,12.9296
0,196,474,54,19.2976,12.9642
0,196,474,54,17.7961,12.9903
0,196,474,54,18.3325,13.019
0,196,474,54,17.4201,13.0425
0,196,474,54,17.908,13.0684
0,196,474,54,18.533,13.0973
0,196,474,54,17.2765,13.1193
0,196,474,54,18.0753,13.1453
0,196,474,54,17.2947,13.1669
0,196,474,54,18.0937,13.1924
0,196,474,54,16.7839,13.2109
0,196,474,54,18.5705,13.2384
0,196,474,54,18.2992,13.2642
0,196,474,54,16.9245,13.2828
0,196,474,54,16.9325,13.3012
0,196,474,54,18.0548,13.3251
0,196,474,54,18.2522,13.3498
0,196,474,54,17.5617,13.3707
0,196,474,54,16.6833,13.3871
0,196,474,54,17.9678,13.4097
0,196,474,54,20.0554,13.4423
0,196,474,54,16.4287,13.4568
0,196,474,54,19.5952,13.4866
0,196,474,54,16.4207,13.5008
