Total Keypoints train: 702

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,117,220,19,2.99604,inf
0,117,220,19,25.0998,28.0959
0,117,220,19,23.197,25.6464
0,117,220,19,24.891,25.3946
0,117,220,19,21.8752,24.5148
0,28,299,83,6.57268,20.9263
0,30,260,59,4.72945,18.2269
0,39,259,59,4.46618,16.2611
0,47,254,26,4.24946,14.7596
0,69,225,27,4.02466,13.5668
1,142,240,23,3.72988,12.5831
0,118,242,22,3.80026,11.7847
1,191,252,28,3.57569,11.1006
1,216,292,73,3.96566,10.5518
1,178,267,50,3.49416,10.0477
1,214,263,63,3.69185,9.62393
1,221,230,54,3.64064,9.24998
1,193,244,51,3.73956,8.92583
0,193,244,51,43.9001,10.8688
0,193,244,51,45.523,12.6928
1,176,267,63,4.11345,12.2638
1,190,246,63,4.23424,11.8814
1,257,285,80,4.22333,11.5333
0,257,285,80,41.0357,12.816
0,257,285,80,36.9113,13.82
1,182,251,71,5.11313,13.4717
0,182,251,71,44.9401,14.6821
0,20,272,76,9.7768,14.5004
0,20,272,76,36.9178,15.301
0,125,228,24,3.96736,14.9102
1,226,291,87,5.16166,14.5852
0,226,291,87,44.2671,15.5427
0,103,250,19,4.02375,15.1827
0,115,234,26,3.6922,14.8346
1,227,245,21,3.28769,14.4949
0,161,234,15,3.38488,14.1775
0,100,247,19,3.80171,13.8893
1,224,226,34,3.1997,13.6004
1,222,272,24,3.31804,13.3298
1,180,271,35,3.58225,13.0799
0,130,241,16,3.83716,12.8488
0,77,228,18,3.86932,12.6298
0,93,241,22,3.76585,12.4187
0,109,180,18,3.74596,12.217
0,40,258,66,4.55994,12.043
0,101,196,20,3.82696,11.8604
0,97,246,18,3.81509,11.6855
0,31,208,27,4.29504,11.5283
0,53,215,39,4.31003,11.3779
0,26,209,38,4.35255,11.2345
0,70,223,38,3.98329,11.0895
0,112,234,21,3.99755,10.9505
1,142,226,37,3.47178,10.8066
1,172,203,29,3.3695,10.6663
0,88,185,27,3.49724,10.5336
0,85,244,23,3.49988,10.4057
0,93,235,32,3.55851,10.2834
0,108,258,26,3.6848,10.1676
1,115,249,33,3.63725,10.055
1,120,256,31,3.65987,9.94664
0,150,245,22,3.67522,9.84212
1,247,258,81,4.92347,9.76149
1,181,235,25,3.2414,9.65632
1,224,234,21,3.21164,9.55403
1,181,220,51,3.71366,9.46277
1,136,254,21,3.79756,9.37561
1,238,286,108,5.90155,9.32298
1,171,266,69,4.35195,9.24878
1,138,238,63,4.79999,9.18336
1,131,241,30,3.62104,9.10275
1,130,219,29,3.73067,9.026
1,133,229,33,3.76558,8.95191
0,182,242,41,3.78099,8.88009
1,245,220,60,4.38381,8.8185
0,86,238,17,4.82174,8.76449
0,83,202,21,4.96029,8.71377
1,198,231,65,4.53564,8.65879
1,136,207,25,3.53743,8.59228
0,104,166,23,3.89592,8.53207
0,96,231,27,3.98386,8.4745
0,111,224,18,4.0214,8.41884
1,152,242,15,3.58156,8.35912
0,112,251,21,3.85278,8.30416
0,126,198,19,3.64248,8.248
0,135,226,16,3.56746,8.19228
0,120,201,21,3.57569,8.13796
0,118,204,19,3.60233,8.08522
0,88,184,31,3.80473,8.03602
0,77,191,35,3.92875,7.98935
0,76,211,24,3.79133,7.94218
0,80,212,31,3.70135,7.89506
0,106,214,19,3.73812,7.84938
0,81,223,23,4.00221,7.80756
0,104,194,23,3.94347,7.76601
0,131,164,12,3.68758,7.72262
0,69,232,52,3.76883,7.68101
0,42,270,44,4.26221,7.64539
0,87,221,25,3.83491,7.60611
0,124,254,17,3.60005,7.56523
1,175,247,53,3.43137,7.52348
1,251,291,93,4.8997,7.49724
1,219,267,68,3.9482,7.4621
1,169,265,56,3.76163,7.42582
1,174,261,49,3.74384,7.39007
1,125,242,26,3.80318,7.35558
1,270,288,88,4.72686,7.33055
0,110,247,16,3.63112,7.29565
0,78,260,26,3.61558,7.26125
1,153,235,15,3.20641,7.22371
1,166,251,37,3.15124,7.18635
1,267,244,60,3.38729,7.15181
1,204,258,64,3.52093,7.1191
1,160,253,30,3.25508,7.0846
1,150,217,14,3.43854,7.05233
1,166,218,39,3.49011,7.02109
0,99,201,30,3.74228,6.99257
0,84,194,24,3.52561,6.96269
