Total Keypoints train: 1633

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,697,466,13,2.30082,inf
0,175,417,32,4.58219,6.88301
0,203,405,21,4.46131,5.67216
0,197,410,26,4.57919,5.30784
0,197,410,26,55.9352,17.9647
0,51,295,42,3.98548,15.1688
0,288,350,24,3.34403,13.198
0,118,469,46,4.88472,12.0104
0,118,469,46,52.5016,17.0718
0,118,469,46,48.3744,20.5499
0,118,469,46,33.9595,21.8909
0,24,483,172,10.5268,20.8578
0,71,538,65,4.14558,19.4651
0,208,463,43,3.72168,18.254
0,209,465,34,3.64101,17.2103
1,368,492,35,3.28733,16.2821
0,342,457,25,3.33646,15.473
0,199,492,27,3.34298,14.7594
1,787,502,137,2.84009,14.0972
1,696,496,141,3.16433,13.5218
1,742,557,157,3.1436,13.0029
1,314,499,69,3.58531,12.5545
1,765,517,151,3.57583,12.1463
1,306,505,95,3.63937,11.7765
1,595,550,144,3.59278,11.4355
1,643,495,109,2.56195,11.0805
1,610,490,29,2.6087,10.7547
0,468,458,21,2.84194,10.4616
1,526,422,24,2.78023,10.1873
1,440,417,32,2.89697,9.93591
1,545,466,65,2.62355,9.69217
1,554,479,62,2.97154,9.47537
1,582,539,80,2.81224,9.26715
1,338,463,29,3.08851,9.07992
0,219,469,30,3.24417,8.90828
0,241,457,26,3.2891,8.74773
1,482,454,61,2.88725,8.58494
0,390,436,24,3.14915,8.43803
0,430,487,19,2.93719,8.29327
1,218,513,36,3.23251,8.1635
0,574,458,78,2.73043,8.02768
1,523,469,84,2.64037,7.89628
0,409,421,20,2.92773,7.77798
1,592,469,101,2.52134,7.65573
0,592,469,101,48.1302,8.57561
1,745,508,80,2.44795,8.43944
0,607,470,93,2.60531,8.31261
0,322,387,30,2.7679,8.19464
1,549,418,26,2.57543,8.07757
0,313,464,28,3.12429,7.97648
1,549,463,33,2.6535,7.87002
0,259,413,26,2.92239,7.77301
0,172,434,38,3.21029,7.68527
0,322,402,20,2.87974,7.59459
0,703,485,19,2.51526,7.50053
1,893,558,135,2.59583,7.41136
1,748,585,194,3.75019,7.34598
1,779,572,163,3.19913,7.27323
1,798,583,169,3.4182,7.20676
0,798,583,169,52.4164,7.97302
1,719,570,124,2.75911,7.88613
0,719,570,124,48.2414,8.54769
1,661,547,148,3.50351,8.46633
0,661,547,148,52.0702,9.15846
1,623,554,161,3.88324,9.07603
0,472,389,24,2.80259,8.97952
0,368,398,20,3.13796,8.89101
1,670,545,145,3.24928,8.8068
0,670,545,145,47.9086,9.38183
1,291,482,80,3.54316,9.29721
1,495,543,109,3.08238,9.20843
1,445,539,122,3.14882,9.12308
0,445,539,122,48.4499,9.66929
0,445,539,122,50.7871,10.2325
0,445,539,122,56.0788,10.8521
0,351,453,21,3.12511,10.7491
1,518,463,68,2.71724,10.6434
0,265,512,34,3.79157,10.5544
0,265,512,34,49.6127,11.0551
1,536,528,123,3.00401,10.9532
0,362,481,28,3.12999,10.8554
1,700,629,195,3.56137,10.7654
1,605,620,221,4.29358,10.6865
0,605,620,221,56.1832,11.2346
1,763,608,206,3.39431,11.1413
1,464,582,115,2.85296,11.0438
1,406,544,127,2.86104,10.9486
0,406,544,127,54.2411,11.4462
0,84,427,39,4.05698,11.3623
1,344,448,65,2.92141,11.2674
1,666,487,92,2.61356,11.1713
1,713,494,122,2.803,11.0793
0,236,496,32,3.78157,11
1,633,550,134,3.07996,10.9148
1,560,540,136,3.34968,10.8343
1,342,525,85,3.37514,10.7558
0,342,525,85,47.4834,11.1384
1,573,512,114,3.00706,11.0546
1,407,453,50,3.01337,10.9725
1,534,485,15,2.88949,10.8909
1,475,524,73,3.13361,10.8133
0,475,524,73,45.4485,11.1562
0,475,524,73,46.9487,11.5071
1,440,510,79,3.08422,11.4254
1,361,468,17,3.08476,11.3452
1,664,492,104,2.666,11.2625
0,664,492,104,56.0886,11.6854
0,664,492,104,43.754,11.9851
1,598,516,97,2.87345,11.9007
1,460,531,103,3.09113,11.8199
0,460,531,103,54.3719,12.2067
0,460,531,103,46.7202,12.5177
0,460,531,103,54.2825,12.8906
1,621,510,92,2.83475,12.8016
1,474,523,87,3.18757,12.7173
0,474,523,87,46.4578,13.0107
0,474,523,87,46.2452,13.2972
0,474,523,87,53.5794,13.6415
1,372,493,54,2.87186,13.5502
1,545,474,62,2.82345,13.46
0,545,474,62,44.24,13.7165
0,200,448,20,3.884,13.6353
0,200,448,20,46.6397,13.9058
0,509,467,74,3.08382,13.8178
1,478,466,79,2.84117,13.7293
0,478,466,79,50.0173,14.0196
0,412,476,31,3.08407,13.9328
0,412,476,31,58.0149,14.2799
1,412,435,25,2.99278,14.1917
1,534,538,95,2.88172,14.1041
0,84,499,76,4.84682,14.0329
1,535,518,92,2.90139,13.9479
0,535,518,92,55.3251,14.2613
0,337,456,25,3.28104,14.1788
1,450,444,17,3.04967,14.0957
0,392,445,26,3.16854,14.0148
0,363,493,26,3.24385,13.9356
1,249,497,58,3.61671,13.8603
1,398,484,25,3.1547,13.7827
1,504,471,80,3.0433,13.7054
0,255,475,23,3.34246,13.6314
0,69,438,86,3.9397,13.5627
0,127,506,42,3.63517,13.4928
0,462,481,16,3.08308,13.42
0,469,517,18,3.04981,13.348
0,478,438,21,3.07352,13.2771
1,659,460,122,3.12807,13.2076
1,717,588,157,3.22266,13.1397
0,158,477,39,4.24611,13.0796
1,787,536,160,3.43191,13.0148
1,695,573,171,3.59674,12.952
0,695,573,171,50.6381,13.2016
1,736,576,171,3.54403,13.1381
0,736,576,171,53.2056,13.4
0,736,576,171,56.5224,13.68
0,736,576,171,55.4018,13.9491
0,736,576,171,55.6207,14.2163
0,736,576,171,52.0566,14.4573
0,93,539,66,4.66612,14.3953
0,93,539,66,57.0902,14.6638
0,93,539,66,45.4091,14.856
0,93,539,66,51.5917,15.0842
0,93,539,66,50.7484,15.3043
0,93,539,66,55.7946,15.5527
0,93,539,66,53.6685,15.7851
0,93,539,66,43.7732,15.9548
0,93,539,66,49.5663,16.1572
0,93,539,66,29.4463,16.2368
0,93,539,66,27.3874,16.3032
0,93,539,66,19.5622,16.3225
0,93,539,66,22.0124,16.3559
0,93,539,66,21.6595,16.387
0,93,539,66,26.617,16.4464
0,93,539,66,23.9114,16.4896
0,93,539,66,25.7959,16.5431
0,93,539,66,24.0085,16.5857
0,93,539,66,22.077,16.6169
0,93,539,66,23.8857,16.658
0,93,539,66,20.3537,16.6788
0,93,539,66,22.8764,16.7134
0,93,539,66,25.0614,16.7598
