Total Keypoints train: 958

Detectado,Total keypoints object, coincidencias validas(antes de ransac), coincidencias validas (depues ransac), fps, fps_promedio
0,350,267,13,2.61395,inf
0,350,267,13,52.0159,54.6299
0,350,267,13,47.5604,51.0951
0,350,267,13,66.0718,56.0874
0,350,267,13,60.2301,57.123
0,50,261,26,5.53386,46.8052
0,50,261,26,69.3331,50.5599
0,50,261,26,53.4415,50.9715
0,78,302,48,4.98095,45.2227
0,78,302,48,69.3434,47.9028
0,78,302,48,62.2199,49.3345
0,78,302,48,48.5907,49.2669
0,78,302,48,62.1075,50.3369
0,112,263,26,4.88639,46.8407
0,112,263,26,53.7525,47.3344
0,112,263,26,54.9842,47.8444
0,112,263,26,61.2066,48.6795
0,112,263,26,62.8021,49.5103
0,117,282,31,5.19451,47.0483
0,117,282,31,45.0269,46.9419
0,117,282,31,45.7893,46.8843
0,117,282,31,55.7479,47.3064
0,118,307,29,5.22608,45.3936
0,118,307,29,59.5384,46.0086
0,118,307,29,34.5734,45.5321
0,118,307,29,57.498,46.0108
0,118,307,29,53.6995,46.3065
0,115,276,40,5.11433,44.7809
0,115,276,40,59.7939,45.317
0,115,276,40,64.8761,45.9915
0,115,276,40,46.1232,45.9959
0,115,276,40,61.1058,46.4833
0,118,287,40,5.23424,45.1943
0,118,287,40,68.4885,45.9001
0,118,287,40,59.5308,46.3011
0,118,287,40,64.5914,46.8236
0,118,287,40,61.6184,47.2346
0,127,291,29,5.19994,46.0985
0,127,291,29,68.0595,46.6764
0,127,291,29,67.1766,47.2021
0,127,291,29,67.2714,47.7038
0,127,291,29,61.2003,48.033
0,127,291,29,52.6704,48.1434
0,30,300,54,5.93109,47.1617
0,30,300,54,50.8462,47.2455
0,30,300,54,64.4573,47.628
0,30,300,54,61.8319,47.9367
0,30,300,54,57.5777,48.1419
0,33,273,68,7.67443,47.2988
0,33,273,68,55.5456,47.4671
0,33,273,68,61.6637,47.751
0,33,273,68,61.2486,48.0157
0,33,273,68,60.8602,48.2627
0,33,273,68,55.1599,48.3928
0,36,394,75,5.79778,47.604
0,36,394,75,67.3438,47.9629
0,36,394,75,66.0947,48.2867
0,36,394,75,55.6672,48.4162
0,36,394,75,63.816,48.6817
0,7,519,176,15.2397,48.1149
0,7,519,176,30.6373,47.8236
0,7,519,176,28.8808,47.5131
0,7,445,176,27.7908,47.195
0,6,378,176,35.7833,47.0138
0,6,378,176,66.4013,47.3168
0,6,378,176,54.1508,47.4219
0,6,378,176,51.7624,47.4877
0,6,378,176,63.6127,47.7283
0,6,378,176,58.2882,47.8836
0,6,378,176,55.8317,47.9988
0,6,378,176,61.7936,48.1959
0,6,378,176,60.5212,48.3695
0,6,378,176,61.3489,48.5498
0,6,378,176,53.8477,48.6223
0,6,378,176,61.501,48.7964
0,6,378,176,52.6565,48.8478
0,6,378,176,65.0491,49.061
0,6,378,176,65.1087,49.2694
0,6,378,176,64.5158,49.4649
0,6,378,176,50.9215,49.4833
0,6,378,176,66.9706,49.7019
0,26,395,130,14.4833,49.2671
0,17,418,117,10.6468,48.7961
0,24,354,75,5.69813,48.2769
0,20,401,109,8.51107,47.8035
0,16,367,132,13.0157,47.3942
0,35,326,47,5.00155,46.9013
0,46,285,43,4.77263,46.417
0,164,256,28,3.72411,45.9319
1,283,339,66,3.38343,45.4538
0,151,292,17,3.80529,44.9911
1,361,321,39,3.06813,44.5304
1,453,385,129,4.11294,44.0911
1,447,409,157,4.88191,43.6694
1,456,392,151,4.57388,43.2535
1,490,396,141,4.55183,42.8462
1,401,365,93,3.67252,42.4381
1,424,367,113,4.14224,42.0433
1,420,332,94,3.67636,41.6518
1,346,347,80,3.23287,41.2637
1,413,317,79,3.37523,40.8848
0,364,307,34,3.09805,40.5107
1,294,266,33,3.20874,40.145
0,203,256,20,3.27226,39.787
0,221,318,25,3.34294,39.4366
0,225,325,22,3.63123,39.0956
0,222,314,13,3.51309,38.7599
0,160,297,39,3.60022,38.4313
0,142,246,39,3.58716,38.1087
1,296,355,63,3.1125,37.7876
1,300,328,63,3.14937,37.4727
1,355,337,68,3.00604,37.1622
0,282,290,17,3.00425,36.8572
1,568,443,192,3.82784,36.5649
0,204,350,28,3.48787,36.2748
1,359,384,133,4.9488,36.0024
1,361,337,80,3.14354,35.7191
1,408,342,84,3.09514,35.4403
0,282,316,18,2.87727,35.1643
0,261,299,17,2.97936,34.8939
1,299,279,24,2.83254,34.6267
1,556,392,138,3.52949,34.3697
1,629,417,151,3.38236,34.1157
1,468,417,168,4.71691,33.8767
1,582,347,101,3.05478,33.6281
1,682,399,183,3.33056,33.3857
1,658,421,160,3.53041,33.1488
1,358,344,143,5.64672,32.9322
0,358,344,143,48.4499,33.0535
1,212,369,93,5.02955,32.8362
0,351,293,13,2.81029,32.6053
0,305,307,14,2.85595,32.3782
1,345,331,61,2.89854,32.1548
1,386,348,100,4.2382,31.9449
1,493,389,150,4.38648,31.7393
1,519,449,208,4.83155,31.54
1,482,451,210,4.94501,31.3444
1,507,416,177,4.40023,31.1477
1,546,453,218,4.31729,30.9533
1,430,426,204,5.35739,30.7692
1,361,430,157,5.11582,30.5859
1,441,385,146,4.02287,30.3975
1,378,336,90,3.38561,30.2073
1,517,404,155,3.73505,30.0222
1,418,348,110,3.92926,29.841
1,511,394,162,4.20444,29.6642
1,485,356,143,4.26525,29.4902
1,562,381,159,4.09494,29.3175
1,544,363,150,4.35246,29.1488
0,40,361,188,15.7991,29.0592
1,302,294,22,3.06563,28.8859
1,611,462,215,3.83537,28.72
1,549,452,226,4.0552,28.5577
1,483,423,209,4.47295,28.4003
0,483,423,209,49.7162,28.5387
1,334,372,132,4.45704,28.3834
0,151,278,22,3.23952,28.2222
1,311,311,80,3.14317,28.0624
1,293,330,81,3.29437,27.9057
0,204,307,25,3.3103,27.751
1,266,306,37,3.0777,27.5968
0,309,294,17,3.00833,27.4441
0,243,278,20,3.1648,27.2942
0,397,339,100,3.76085,27.1498
0,111,267,30,3.6434,27.0065
1,287,330,36,2.85228,26.8601
1,480,381,122,3.81323,26.7213
1,352,392,153,5.3714,26.5934
1,341,368,94,3.94493,26.4586
1,375,324,84,3.5481,26.323
1,402,394,142,4.53554,26.1949
1,357,377,125,5.01266,26.071
0,357,377,125,59.5909,26.2659
1,117,327,40,4.59226,26.1406
0,166,343,26,3.56568,26.0109
0,207,326,24,3.58057,25.8827
1,295,360,106,4.48652,25.7611
0,295,360,106,65.5606,25.986
1,303,361,112,4.92087,25.8676
0,172,302,28,3.68646,25.7437
1,304,353,123,4.74814,25.6271
1,257,350,47,3.16315,25.503
1,210,332,66,3.42795,25.3817
1,387,408,150,4.37231,25.2669
1,416,417,157,4.0521,25.1516
1,493,421,209,4.19252,25.0383
1,447,437,190,4.34222,24.927
1,256,300,40,2.96982,24.8096
1,365,365,131,4.29742,24.7005
1,415,375,166,4.6424,24.5944
1,314,350,102,4.51816,24.4887
1,418,417,200,5.21054,24.3878
1,399,391,169,5.35151,24.2886
1,374,379,139,5.1971,24.1897
1,252,354,94,4.79665,24.0897
1,342,409,154,5.51265,23.9945
0,142,311,24,4.26012,23.8938
1,229,345,58,3.51795,23.7903
1,323,402,118,4.53597,23.6931
1,323,358,127,5.12902,23.5998
1,346,374,111,4.56335,23.5046
1,443,438,195,5.04276,23.4128
1,438,409,181,4.9897,23.3216
1,343,373,129,4.79982,23.2303
1,391,406,189,5.10545,23.1415
1,346,362,111,4.48077,23.0505
1,375,414,148,4.64106,22.9611
1,375,388,135,4.68081,22.8728
1,255,362,92,3.99069,22.782
1,299,368,104,4.21886,22.6932
1,338,338,93,3.87406,22.6036
1,307,320,57,3.1964,22.5116
1,465,369,134,4.14152,22.4249
1,308,326,52,2.97693,22.3336
0,469,343,124,4.1128,22.2485
0,477,337,125,4.26647,22.1649
0,445,357,133,4.26856,22.082
1,304,351,54,3.02461,21.9942
0,199,298,25,3.27912,21.9083
1,319,358,86,3.25267,21.8231
1,349,297,81,3.74075,21.741
1,333,322,77,3.26509,21.6574
1,445,381,127,3.96375,21.5777
1,500,383,146,4.13259,21.4994
1,425,353,102,3.62457,21.4196
1,432,373,122,3.87615,21.3417
0,188,240,24,3.2231,21.2615
0,300,300,22,2.85427,21.1804
0,285,322,20,2.96759,21.1005
1,268,343,39,2.91672,21.0211
1,309,339,68,2.87458,20.9422
1,318,323,48,2.96026,20.8644
1,224,295,19,3.10002,20.7878
1,315,283,43,2.88585,20.711
0,188,283,19,3.22248,20.6362
1,389,291,64,2.80625,20.5604
0,397,350,96,3.84345,20.4895
1,202,319,31,3.25372,20.4168
